ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΚΤΥΠΗΣ ΔΙΟΝΥΣΙΟΣ του Δημητρίου,ΛΙΒΕΡΗ ΜΑΡΙΑ του Σταμάτη,ΠΕΤΤΑΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΣΥΡΙΖΑ,ΑΡΜΕΝΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΜΑΡΟΥΔΑ ΑΝΑΣΤΑΣΙΑ του Διονυσίου,ΞΕΝΟΣ ΣΠΥΡΙΔΩΝ του Σκοπιώτη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΘΕΟΔΟΣΗ - ΚΟΝΤΟΥ ΑΝΑΣΤΑΣΙΑ του Ιωάννη-Διονύσιου,ΚΟΝΤΟΝΗΣ ΧΑΡΑΛΑΜΠΟΣ-ΣΤΑΥΡΟΣ του Νικόλαου,ΜΠΟΤΩΝΗΣ ΔΙΟΝΥΣΙΟΣ του Αθανασίου,Κ.Κ.Ε.,ΑΡΒΑΝΙΤΑΚΗΣ ΔΙΟΝΥΣΙΟΣ του Κωνσταντίνου,ΚΑΡΑΚΩΣΤΑ ΠΑΡΑΣΚΕΥΗ (ΒΟΥΛΑ) του Σωτηρίου,ΚΩΝΣΤΑΝΤΙΝΟΥ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΜΟΥΖΑΚΗ ΠΑΝΑΓΙΩΤΑ του Διονυσίου,ΜΠΑΣΤΑΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΠΑΠΑΔΑΤΟΣ ΓΕΡΑΣΙΜΟΣ του Παναγή Διομήδη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΠΕΤΤΑΣ ΔΗΜΗΤΡΙΟΣ του Δημητρίου,ΡΟΥΜΕΛΙΩΤΟΥ ΛΑΜΠΡΙΝΗ του Αναστασίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΑΣΤΗ ΠΟΛΥΞΕΝΗ του Αντωνίου,ΠΑΡΑΣΧΗΣ ΚΟΡΩΝΙΟΣ ΝΙΚΟΛΑΟΣ του Σπυρίδωνα Χρυσοστόμου,Κ.Κ.Ε. (μ-λ),ΡΟΥΚΑΝΑ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,Ο.Κ.Δ.Ε.,ΜΑΡΓΑΡΗΣ ΧΑΡΑΛΑΜΠΟΣ του Ηλία,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΛΑΧΑΝΙΩΤΗ ΑΝΤΩΝΙΑ (ΤΟΝΙΑ) του Δημητρίου,ΣΕΜΙΤΕΚΟΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΝΤΙΝΟΣ) του Κωνσταντίνου,ΧΑΪΚΑΛΗΣ ΣΠΥΡΙΔΩΝ του Παναγιώτη,Κίνημα 21,ΓΚΑΤΖΟΥΝΑ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΛΑΓΟΔΗΜΟΣ ΑΡΓΥΡΙΟΣ του Διονυσίου,ΝΙΚΗ,ΛΙΒΕΡΗ ΑΛΕΞΑΝΔΡΑ του Διονυσίου,ΣΤΕΦΑΝΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,κοινωνία αξιών,ΦΑΡΑΟΣ ΔΗΜΗΤΡΙΟΣ του Χαραλάμπους,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΛΑΥΔΙΑΝΟΥ ΜΑΡΙΑ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΤΣΟΥΚΑΛΑΣ ΧΡΗΣΤΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΒΟΥΤΟΣ ΘΕΟΦΑΝΗΣ του Σπυρίδων,Ένωση Κεντρώων,ΤΥΡΟΓΑΛΑ ΜΑΡΙΝΑ του Καμίλου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΤΣΑΝΟΥ ΣΤΑΥΡΟΥΛΑ του Αθανάσιου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΙΑΤΡΑ ΔΙΟΝΥΣΙΑ του Πέτρου,ΜΑΡΟΥΔΑΣ ΠΑΝΑΓΙΩΤΗΣ - ΣΙΓΟΥΡΟΣ του Παύλου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΑΡΒΑΝΙΤΑΚΗΣ ΦΩΤΙΟΣ του Διονυσίου-Παναγιώτη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΒΟΓΙΑΤΖΗ ΧΡΥΣΟΥΛΑ του Ελευθερίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΤΕΤΡΑΔΗΣ ΑΓΓΕΛΟΣ του Ιωάννη,ΕΑΝ...,ΚΛΕΙΔΕΡΗΣ ΓΕΩΡΓΙΟΣ του Διονυσίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΝΤΟΖΗΣ ΙΩΑΝΝΗΣ του Διονυσίου
29 - Ζακύνθου,48 E.T. Δήμου Ζακύνθου,316,161,2,1,3,158,69,30,2,34,17,2,2,12,21,20,0,0,23,9,4,3,7,3,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,2
29 - Ζακύνθου,49 E.T. Δήμου Ζακύνθου,281,159,0,0,0,159,59,38,2,14,56,11,9,28,9,6,2,0,10,1,2,4,2,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,1,1,0,0,1,1,0,0,4,0,2,0,0,6,4,0,0,0,0,4,3
29 - Ζακύνθου,50 E.T. Δήμου Ζακύνθου,275,137,4,0,4,133,37,25,3,4,35,7,9,12,11,6,1,1,15,1,6,1,1,1,0,0,9,5,2,3,1,1,1,1,1,1,2,1,0,1,2,1,1,1,2,2,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,2
29 - Ζακύνθου,51 E.T. Δήμου Ζακύνθου,255,136,5,0,5,131,75,51,0,21,9,0,1,7,16,14,1,0,11,6,0,0,2,1,1,0,6,1,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,1,0,0,0,0,1,1
29 - Ζακύνθου,52 E.T. Δήμου Ζακύνθου,481,268,4,1,5,263,122,104,2,11,57,2,4,48,30,24,0,2,18,3,2,6,7,2,1,0,3,1,0,6,0,1,2,1,0,0,3,0,2,1,0,0,2,1,1,0,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,3,2,3,2
29 - Ζακύνθου,53 E.T. Δήμου Ζακύνθου,342,173,6,2,8,165,58,48,3,6,48,2,5,36,26,19,5,1,10,3,3,3,2,0,0,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0,1,0,2,1,0,0,0,0,7,1
29 - Ζακύνθου,54 E.T. Δήμου Ζακύνθου,509,268,3,2,5,263,93,58,12,17,61,11,7,37,36,10,20,5,32,20,2,6,1,0,0,0,10,5,2,1,0,0,1,1,0,0,5,1,0,0,4,2,3,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,0,1,1,6,5
29 - Ζακύνθου,55 E.T. Δήμου Ζακύνθου,525,307,4,3,7,300,126,83,4,25,65,18,5,34,51,28,17,4,15,7,0,3,7,1,0,0,8,3,0,5,1,3,0,0,0,0,2,0,1,1,0,0,4,3,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,8,5
29 - Ζακύνθου,56 E.T. Δήμου Ζακύνθου,512,275,3,3,6,269,86,68,3,8,53,10,7,30,40,15,13,8,31,10,2,10,7,2,2,0,7,2,2,1,1,0,1,1,0,0,0,0,0,0,1,0,11,7,5,4,1,0,0,1,1,0,0,1,1,2,0,0,0,12,2,7,1,1,0,0,1,1,0,0,8,3
29 - Ζακύνθου,57 E.T. Δήμου Ζακύνθου,518,292,8,4,12,280,112,66,19,21,75,18,13,38,32,11,14,4,24,6,4,7,4,1,1,0,5,3,1,4,0,3,1,1,0,0,0,0,0,0,2,0,9,6,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,6,6
29 - Ζακύνθου,58 E.T. Δήμου Ζακύνθου,527,307,8,5,13,294,139,103,14,9,64,11,12,30,16,6,7,1,21,0,0,13,7,1,3,0,10,6,2,5,2,3,0,0,0,0,3,3,0,0,1,1,5,5,5,2,2,0,0,0,0,0,0,1,0,2,2,0,0,2,1,1,1,1,1,1,2,1,0,0,9,4
29 - Ζακύνθου,59 E.T. Δήμου Ζακύνθου,526,280,7,2,9,271,107,82,5,10,64,8,4,42,20,7,7,1,30,12,9,2,11,2,5,2,6,1,2,7,5,2,0,0,0,0,0,0,0,0,3,0,2,2,7,3,3,0,0,0,0,1,1,0,0,0,0,0,0,5,1,1,1,0,2,1,2,1,1,1,2,2
29 - Ζακύνθου,60 E.T. Δήμου Ζακύνθου,512,292,7,5,12,280,106,72,11,11,81,23,21,29,33,8,10,10,18,4,2,8,3,1,1,1,12,2,1,3,0,3,0,0,0,0,2,0,1,0,4,2,1,1,5,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,7,4
29 - Ζακύνθου,61 E.T. Δήμου Ζακύνθου,569,389,8,2,10,379,170,112,16,29,92,28,7,45,35,12,13,4,23,8,1,7,6,0,5,0,3,1,1,3,0,2,0,0,0,0,0,0,0,0,4,0,7,7,7,4,1,0,0,2,1,1,0,1,0,1,0,0,0,5,1,4,0,0,2,2,5,0,1,1,11,8
29 - Ζακύνθου,62 E.T. Δήμου Ζακύνθου,512,292,12,5,17,275,105,76,5,17,77,25,11,34,32,12,16,1,21,4,1,5,1,0,0,1,5,1,1,2,1,0,0,0,0,0,3,1,0,2,0,0,7,6,9,4,3,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,3,0,0,0,4,2
29 - Ζακύνθου,63 E.T. Δήμου Ζακύνθου,524,289,11,2,13,276,98,75,9,10,58,16,6,30,25,4,17,1,28,14,1,9,8,3,3,0,13,7,4,8,2,3,2,2,0,0,1,0,0,1,1,1,8,5,7,2,3,2,2,3,1,0,0,0,0,0,0,2,2,5,2,3,0,0,1,1,1,0,0,0,5,4
29 - Ζακύνθου,64 E.T. Δήμου Ζακύνθου,512,296,2,4,6,290,106,71,10,17,78,14,14,40,36,17,9,7,21,7,3,7,8,2,2,1,6,4,1,1,1,0,1,1,0,0,5,2,0,0,0,0,4,3,5,4,0,0,0,0,0,2,1,1,1,1,0,0,0,4,0,4,0,0,0,0,2,1,4,3,5,3
29 - Ζακύνθου,65 E.T. Δήμου Ζακύνθου,511,244,1,1,2,242,119,93,5,15,44,7,7,25,17,3,9,4,22,9,1,7,8,4,4,0,1,1,0,3,1,2,0,0,2,1,1,1,0,0,1,0,3,2,4,3,1,1,1,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,10,5
29 - Ζακύνθου,66 E.T. Δήμου Ζακύνθου,528,299,10,3,13,286,113,75,6,24,72,14,5,36,29,9,13,1,20,5,3,6,14,5,3,1,6,4,1,7,2,4,0,0,0,0,1,0,1,0,0,0,5,3,5,3,1,0,0,1,1,0,0,0,0,1,1,0,0,4,0,3,0,0,0,0,2,1,2,2,4,2
29 - Ζακύνθου,67 E.T. Δήμου Ζακύνθου,499,276,7,0,7,269,99,74,7,9,77,14,7,49,32,12,13,4,17,2,4,3,16,5,1,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,1,1,6,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,1,0,2,0,8,5
29 - Ζακύνθου,68 E.T. Δήμου Ζακύνθου,511,287,6,3,9,278,102,68,8,11,72,15,5,40,22,6,11,2,34,9,6,12,6,0,1,2,11,7,0,7,2,5,0,0,0,0,1,0,0,0,2,1,3,1,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,2,0,3,3,0,0,4,1
29 - Ζακύνθου,69 E.T. Δήμου Ζακύνθου,519,285,8,3,11,274,108,76,12,15,58,17,5,31,29,8,9,6,23,9,2,7,19,8,3,3,13,9,1,5,2,2,0,0,0,0,3,1,0,1,1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,0,3,0,0,0,0,2,1,0,0,4,3
29 - Ζακύνθου,70 E.T. Δήμου Ζακύνθου,509,275,8,0,8,267,90,70,3,10,72,23,9,34,33,6,18,7,22,6,5,5,11,5,0,0,15,6,0,6,1,3,0,0,1,0,2,0,0,1,0,0,3,3,4,3,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,1,0,0,0,0,1,1,0,0,1,0
29 - Ζακύνθου,71 E.T. Δήμου Ζακύνθου,513,259,5,1,6,253,102,58,8,23,70,17,7,34,30,13,10,3,27,7,4,10,4,3,0,0,3,3,0,2,2,0,0,0,2,0,1,1,0,0,0,0,3,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,4,1
29 - Ζακύνθου,72 E.T. Δήμου Ζακύνθου,521,285,15,2,17,268,145,106,6,27,46,17,9,16,17,5,7,3,17,4,1,6,10,4,2,1,6,2,1,3,2,1,0,0,1,0,4,1,3,0,1,1,1,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,5,5,4,2
29 - Ζακύνθου,73 E.T. Δήμου Ζακύνθου,516,272,4,6,10,262,85,59,7,9,76,15,9,35,35,10,19,5,26,13,4,3,4,1,1,1,10,4,4,3,1,0,0,0,1,1,2,0,2,0,0,0,3,2,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,1,0,1,0,1,0,1,0,6,3
29 - Ζακύνθου,74 E.T. Δήμου Ζακύνθου,472,311,1,1,2,309,151,130,9,8,68,16,8,39,16,10,3,2,25,9,2,10,4,2,0,0,3,1,0,8,4,3,1,1,0,0,2,0,2,0,2,1,2,1,2,1,0,1,0,0,0,1,0,6,3,1,0,4,1,1,0,0,0,0,0,0,1,1,4,2,6,6
29 - Ζακύνθου,75 E.T. Δήμου Ζακύνθου,434,313,7,1,8,305,155,141,6,6,62,8,5,40,16,8,6,1,37,10,1,17,4,2,2,0,4,3,0,7,1,3,0,0,0,0,0,0,0,0,0,0,3,3,4,0,2,0,0,0,0,1,1,3,3,0,0,1,0,2,1,1,0,0,0,0,1,1,1,1,4,3
29 - Ζακύνθου,76 E.T. Δήμου Ζακύνθου,407,248,6,3,9,239,118,105,1,12,37,10,5,14,11,4,5,1,12,5,1,3,11,3,6,2,9,7,1,10,4,6,3,1,0,0,1,0,1,0,0,0,9,5,5,1,4,1,1,1,0,0,0,0,0,0,0,2,1,2,0,0,1,0,1,0,0,0,2,2,3,2
29 - Ζακύνθου,77 E.T. Δήμου Ζακύνθου,443,288,7,0,7,281,128,93,10,17,54,9,10,23,22,4,7,4,10,2,0,5,6,1,3,0,9,6,3,13,4,8,0,0,0,0,1,1,0,0,3,1,5,4,10,6,1,1,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,1,1,1,0,2,0,9,5
29 - Ζακύνθου,78 E.T. Δήμου Ζακύνθου,436,278,8,4,12,266,143,97,16,25,40,11,5,20,30,15,13,1,12,7,2,1,6,2,1,0,4,2,2,6,4,2,1,1,0,0,4,1,2,1,0,0,3,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,3,1,0,0,6,2
29 - Ζακύνθου,79 E.T. Δήμου Ζακύνθου,391,255,11,0,11,244,120,63,6,49,54,26,5,16,45,20,13,6,6,2,1,3,4,3,0,0,2,1,1,4,1,3,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,1
29 - Ζακύνθου,80 E.T. Δήμου Ζακύνθου,394,282,4,2,6,276,111,67,4,38,59,21,9,25,45,9,14,21,19,4,4,3,6,4,1,1,6,2,1,7,4,3,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,1,1,2,2,0,0,8,1,5,0,0,0,0,1,1,0,0,6,1
29 - Ζακύνθου,81 E.T. Δήμου Ζακύνθου,495,292,2,2,4,288,123,87,9,19,59,10,5,36,31,11,13,1,35,10,5,12,5,0,1,0,3,1,0,3,2,0,0,0,0,0,3,2,1,0,1,1,1,1,7,4,1,0,0,0,0,1,1,1,1,2,1,1,0,2,0,1,1,1,0,0,3,1,1,1,5,4
29 - Ζακύνθου,82 E.T. Δήμου Ζακύνθου,488,294,3,2,5,289,127,94,6,19,71,11,6,51,27,13,7,5,30,12,4,9,9,1,6,1,6,4,0,5,4,1,0,0,0,0,2,0,2,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2,2,2,2,0,0,3,0
29 - Ζακύνθου,83 E.T. Δήμου Ζακύνθου,346,205,0,1,1,204,67,52,4,6,48,17,6,22,33,10,17,2,13,6,1,3,6,2,1,2,2,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,10,7,6,2,4,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,5,4,2,2,3,3
29 - Ζακύνθου,84 E.T. Δήμου Ζακύνθου,354,217,3,2,5,212,72,51,5,11,60,16,11,30,17,5,8,3,14,4,0,3,7,1,1,1,7,4,2,4,1,2,0,0,0,0,0,0,0,0,1,1,9,6,2,0,0,0,0,0,0,3,0,1,1,3,3,1,1,2,0,1,0,0,0,0,0,0,3,0,6,4
29 - Ζακύνθου,85 E.T. Δήμου Ζακύνθου,374,199,4,2,6,193,71,51,8,8,33,7,7,15,40,16,12,11,22,5,0,3,8,5,1,2,3,2,0,5,1,2,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
29 - Ζακύνθου,86 E.T. Δήμου Ζακύνθου,407,228,4,1,5,223,95,61,3,22,47,12,9,20,32,20,8,4,9,5,2,1,6,3,0,0,8,5,3,0,0,0,1,0,1,0,2,1,0,0,0,0,6,4,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,1,2,1,3,2
29 - Ζακύνθου,87 E.T. Δήμου Ζακύνθου,378,209,4,1,5,204,94,72,1,6,41,9,1,24,16,5,3,3,20,10,2,6,8,3,3,1,4,2,0,5,0,2,0,0,0,0,0,0,0,0,1,1,4,3,3,2,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0
29 - Ζακύνθου,88 E.T. Δήμου Ζακύνθου,432,232,5,2,7,225,109,83,6,13,30,11,4,11,33,0,0,0,20,7,4,3,10,4,1,1,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3,1,5,4
29 - Ζακύνθου,89 E.T. Δήμου Ζακύνθου,487,283,6,2,8,275,132,109,3,14,60,10,13,24,24,6,7,5,22,6,1,9,3,2,0,0,7,3,2,7,2,3,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,1,1,1,1,4,4
29 - Ζακύνθου,90 E.T. Δήμου Ζακύνθου,404,233,5,3,8,225,125,93,9,18,50,17,6,21,15,5,5,0,8,1,1,3,6,2,3,0,3,1,0,3,0,3,0,0,0,0,0,0,0,0,4,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,5,0,3,0,0,0,0,0,0,0,0,3,3
29 - Ζακύνθου,91 E.T. Δήμου Ζακύνθου,449,272,3,1,4,268,102,76,5,14,60,18,5,27,32,16,5,3,14,6,1,3,10,3,2,2,9,3,3,5,1,4,0,0,0,0,1,1,0,0,3,1,5,4,2,1,1,0,0,0,0,0,0,2,1,1,0,2,0,6,0,4,0,0,0,0,1,1,2,1,11,5
29 - Ζακύνθου,92 E.T. Δήμου Ζακύνθου,401,253,2,2,4,249,127,74,29,18,36,9,5,21,29,18,5,6,9,2,0,2,9,2,1,1,4,3,1,8,1,3,0,0,0,0,0,0,0,0,0,0,3,2,12,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,4,2,4,0
29 - Ζακύνθου,93 E.T. Δήμου Ζακύνθου,396,276,2,1,3,273,122,69,32,12,60,15,9,29,31,19,5,3,17,1,5,6,7,1,1,1,0,0,0,4,0,3,0,0,0,0,2,1,0,0,0,0,0,0,14,1,13,0,0,1,0,1,0,0,0,0,0,0,0,3,0,3,1,0,1,1,0,0,3,1,6,4
29 - Ζακύνθου,94 E.T. Δήμου Ζακύνθου,351,190,7,3,10,180,75,59,5,8,36,9,4,14,21,4,13,0,13,1,2,6,1,0,0,1,8,4,0,3,0,1,0,0,0,0,1,0,0,0,4,2,3,1,4,2,2,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,3,2,2,0,0,0,2,2
29 - Ζακύνθου,95 E.T. Δήμου Ζακύνθου,372,172,3,3,6,166,52,37,1,8,28,11,0,9,18,8,4,2,29,2,1,22,5,2,1,0,2,2,0,5,2,2,1,1,0,0,0,0,0,0,1,1,3,3,9,1,8,0,0,0,0,1,0,0,0,1,1,0,0,4,0,4,0,0,1,1,1,1,1,1,4,0
29 - Ζακύνθου,96 E.T. Δήμου Ζακύνθου,417,246,5,2,7,239,79,55,5,13,56,16,13,20,34,17,5,6,36,8,1,17,4,0,1,0,8,2,1,2,0,2,0,0,0,0,1,0,0,1,1,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,8,2
29 - Ζακύνθου,97 E.T. Δήμου Ζακύνθου,496,277,0,3,3,274,112,86,4,13,75,11,8,50,14,4,5,3,29,6,1,18,9,4,0,3,7,5,0,5,1,3,1,1,0,0,1,0,0,0,3,3,0,0,8,1,6,1,1,0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,0,0,2,2
29 - Ζακύνθου,98 E.T. Δήμου Ζακύνθου,477,238,3,1,4,234,81,60,10,9,66,15,5,36,25,15,6,2,22,3,1,9,9,3,2,1,0,0,0,7,2,4,0,0,0,0,2,0,0,1,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,0,0,1,1,1,1,0,0,5,3
29 - Ζακύνθου,99 E.T. Δήμου Ζακύνθου,487,269,7,2,9,260,93,66,6,12,65,6,9,40,31,14,13,4,33,8,3,21,6,2,0,3,4,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,4,1,3,1,1,2,2,1,1,0,0,0,0,0,0,7,1,4,0,0,1,1,3,3,0,0,5,0
29 - Ζακύνθου,Ετερ. Ζακύνθου (από 52ο Ε.Τ. Νομ. Αττικης-Αθηνών),326,231,2,2,4,227,82,46,15,10,61,6,15,30,27,8,15,4,29,11,4,4,0,0,0,0,6,3,2,1,1,0,1,0,0,0,3,1,0,1,1,1,3,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,5,2
29 - Ζακύνθου,Ετερ. Ζακύνθου (από 53ο Ε.Τ. Νομ. Αττικης-Αθηνών),312,215,0,1,1,214,77,46,13,9,55,5,20,17,14,4,5,4,26,4,6,5,3,2,0,0,12,4,5,0,0,0,1,1,4,1,4,0,0,1,0,0,1,1,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,3,0,0,0,0,0,6,4
Σύνολο,,41268,23721,471,198,669,23052,9442,6548,640,1633,4818,1055,738,2331,2506,1122,753,316,2491,715,372,725,576,182,122,57,552,258,98,422,112,219,49,25,24,5,103,31,20,17,90,47,307,219,356,175,120,42,31,24,12,47,25,103,80,55,34,43,18,252,45,131,25,8,73,42,112,61,82,46,458,247
