ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΛΑΧΑΚΟΣ ΝΙΚΟΛΑΟΣ του Αντωνίου,ΔΟΥΝΙΑ ΠΑΝΑΓΙΩΤΑ (ΝΟΝΗ) του Δημητρίου,ΚΑΤΣΑΦΑΔΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΑΝΩΛΑΚΟΣ ΝΙΚΟΛΑΟΣ του Πέτρου,ΜΕΛΑΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΜΙΧΑΗΛΙΔΟΥ ΔΟΜΝΑ-ΜΑΡΙΑ του Αριστείδη,ΧΙΩΤΗ ΕΙΡΗΝΗ του Ανδρέα,ΣΥΡΙΖΑ,ΤΣΙΠΡΑΣ ΑΛΕΞΙΟΣ του Παύλου,ΓΕΝΝΙΑ ΓΕΩΡΓΙΑ του Σωκράτη,ΔΡΙΤΣΑΣ ΘΕΟΔΩΡΟΣ του Παναγιώτη,ΛΟΓΟΘΕΤΗ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Στυλιανού,ΜΠΑΚΑΔΗΜΑ ΦΩΤΕΙΝΗ του Αγαθοκλή,ΜΠΕΛΑΒΙΛΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΦΩΤΙΑΔΗΣ ΧΡΗΣΤΟΣ του Παναγιώτη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΘΑΝΑΣΙΑΔΗΣ ΛΑΖΑΡΟΣ (ΤΑΚΗΣ) του Θεοδώρου,ΒΟΥΡΕΞΑΚΗ - ΤΑΜΠΟΥΡΑΤΖΗ ΚΑΤΕΡΙΝΑ (ΚΑΤΙΝΑ) του Αναστασίου,ΒΡΟΝΤΑΚΗΣ ΑΝΔΡΕΑΣ του Παντελή,ΚΑΤΣΑΦΑΔΟΣ ΒΑΣΙΛΕΙΟΣ του Ηλία,ΚΟΥΚΟΥΔΑΚΗ ΜΑΡΙΑ (ΜΑΡΑ) του Ευάγγελου,ΜΠΙΣΤΙΝΑ ΔΕΣΠΟΙΝΑ του Απόστολου,ΣΠΑΝΑΚΟΣ ΝΙΚΟΛΑΟΣ του Σπύρου,Κ.Κ.Ε.,ΑΜΠΑΤΙΕΛΟΣ ΝΙΚΟΛΑΟΣ του Γεράσιμου,ΓΚΙΤΑΚΟΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΕΥΑΓΓΕΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,ΚΟΤΕΑΣ ΑΛΕΞΑΝΔΡΟΣ του Νικολάου,ΚΥΖΙΛΗ ΕΥΣΤΡΑΤΙΑ ΟΛΥΜΠΙΑ του Κλεάνθη,ΛΕΩΤΣΑΚΟΥ ΑΝΝΑ του Σταύρου,ΣΤΑΜΑΤΕΛΟΥ ΔΗΜΗΤΡΑ του Σπυρίδωνα,Ελληνική Λύση - Κ. Βελόπουλος,ΚΟΝΤΟΜΑΝΩΛΗΣ ΣΤΑΜΑΤΙΟΣ του Νικολάου,ΜΑΔΥΤΙΝΟΥ ΑΓΡΙΠΠΙΝΑ του Αθανασίου,ΜΟΣΧΟΥ ΒΑΣΙΛΕΙΟΣ του Παράσχου,ΜΟΥΓΙΟΣ ΠΕΤΡΟΣ του Ναπολέοντος,ΠΑΝΟΥ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΣΚΥΛΙΤΣΗ ΑΝΝΑ του Γεωργίου,ΨΩΜΙΑΔΟΥ ΧΡΥΣΟΥΛΑ του Παναγιώτη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΒΛΑΝΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη-Παυλή,ΓΕΩΡΓΟΥΛΕΑ ΣΩΤΗΡΙΑ-ΚΥΡΙΑΚΗ (ΣΑΝΤΥ) του Κωνσταντίνου,ΓΚΟΥΜΑΣ ΙΩΑΝΝΗΣ (ΓΙΑΝΗΣ) του Αναστασίου,ΠΕΡΙΦΑΝΗΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΣΤΑΥΡΟΠΟΥΛΟΥ ΣΤΥΛΙΑΝΗ του Σταύρου,ΧΑΡΑΛΑΜΠΑΚΗΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΙΣΣΑ ΜΑΡΙΑ του Χαραλάμπους,ΡΟΥΣΣΗΣ ΦΙΛΙΠΠΟΣ του Ευαγγέλου,Κ.Κ.Ε. (μ-λ),ΒΑΡΣΟΥ ΕΛΕΥΘΕΡΙΑ του Βασιλείου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΑΝΑΣΤΑΣΙΟΣ του Χρήστου,ΤΣΙΚΝΑΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΖΕΡΜΑΛΙΑ ΕΙΡΗΝΗ του Στυλιανού,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΔΡΙΑΝΟΥ ΙΦΙΓΕΝΕΙΑ ΠΑΝΑΓΙΩΤΑ του Χαραλάμπους ,ΑΛΦΙΕΡΗΣ ΑΝΤΩΝΙΟΣ του Ευτυχίου,ΔΕΛΑΓΡΑΜΜΑΤΙΚΑ ΓΑΡΥΦΑΛΛΙΑ του Γεωργίου,ΔΙΑΒΟΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Στυλιανού,ΜΕΣΟΛΟΓΓΙΤΗ ΠΗΝΕΛΟΠΗ του Νικολάου,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΠΑΝΤΕΛΕΗΜΩΝ του Ευαγγέλου,ΤΑΒΟΥΛΑΡΗΣ ΜΑΤΘΑΙΟΣ ΒΕΝΙΑΜΙΝ ΑΝΤΡΕΑΣ του Ιωάννη,Κίνημα 21,ΠΕΤΤΑΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΕΥΓΕΝΙΔΟΥ ΑΝΔΡΟΝΙΚΗ (ΝΙΚΗ) του Γεωργίου,ΤΟΥΜΠΟΥΛΙΔΗΣ ΙΟΡΔΑΝΗΣ του Γεωργίου,ΝΙΚΗ,ΚΑΨΑΛΗΣ ΣΠΥΡΟΣ του Δημητρίου,ΝΤΑΚΟΥΛΑΣ ΒΑΣΙΛΕΙΟΣ του Ευαγγέλου,ΡΕΤΣΟΣ ΠΑΝΑΓΙΩΤΗΣ του Αθανασίου,ΣΕΝΗ ΜΑΡΙΝΑ του Ευαγγέλου,ΧΑΡΜΠΗ ΑΡΕΤΗ του Λάμπρου,κοινωνία αξιών,ΚΟΤΡΟΖΟΣ ΑΧΙΛΛΕΥΣ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΡΓΥΡΙΟΥ ΙΟΥΛΙΑ του Μιχαήλ,Ο.Α.Κ.Κ.Ε.,ΧΡΗΣΤΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ευαγγέλου,Μ-Λ Κ.Κ.Ε.,ΝΙΚΗΤΑ ΑΔΑΜΑΝΤΙΑ του Δημητρίου,ΣΤΑΥΡΙΔΗΣ ΙΩΣΗΦ του Σταύρου,Ελλήνων Συνέλευσις,ΖΑΡΜΑΚΟΥΠΗΣ ΑΠΟΣΤΟΛΟΣ του Ιωάννη,ΘΕΜΕΛΗ ΕΛΕΝΗ του Αχιλλέα,ΘΕΟΔΩΡΟΠΟΥΛΟΥ ΕΛΕΝΗ του Θεοδώρου,ΣΚΑΝΤΖΟΣ ΒΑΣΙΛΕΙΟΣ του Εμμανουήλ,ΤΡΑΚΑ ΘΗΡΕΣΙΑ του Ιωάννη,ΤΣΟΡΗΣ ΣΩΤΗΡΙΟΣ του Κωνσταντίνου,ΧΑΤΖΗΓΙΑΝΝΗΣ ΜΙΧΑΗΛ του Γεωργίου,Ένωση Κεντρώων,ΘΕΟΦΙΛΟΠΟΥΛΟΥ ΟΥΡΑΝΙΑ - ΕΛΠΙΝΙΚΗ του Δημητρίου,ΚΑΣΙΜΑΤΗΣ ΓΕΩΡΓΙΟΣ του Βρεττού,ΚΟΚΚΙΝΟΠΑΝΗΣ ΛΕΩΝΙΔΑΣ του Δημητρίου,ΚΟΥΡΓΙΑΛΗ ΦΩΤΕΙΝΗ του Ιωάννη,ΛΑΟΥΤΑΡΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΕΝΙΕΡΗ ΚΑΛΛΙΟΠΗ του Σπυρίδωνος,ΡΑΝΤΟΣ ΣΤΕΦΑΝΟΣ του Χαραλάμπου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΝΝΟΥΣΑΚΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΑΞΗΣ ΙΓΝΑΤΙΟΣ του Ηλία,ΕΥΘΥΜΙΟΥ ΓΕΩΡΓΙΑ του Χρήστου,ΙΩΑΝΝΙΔΗΣ - ΚΟΝΤΗΣ ΚΥΡΙΑΚΟΣ του Αχιλλέως,ΝΤΙΛΗ ΕΛΕΝΗ του Ιωάννη,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΒΟΒΟΛΗΣ ΦΑΙΔΩΝ του Ηλία,ΜΠΑΚΟΜΗΤΡΟΥ ΕΥΓΕΝΙΑ του Λουκά,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΔΕΠΑΣΤΑ ΓΙΑΝΝΟΥΛΑ του Παναγιώτη,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΚΟΥΒΑΤΣΟΣ ΠΕΤΡΟΣ του Ηλία,ΜΠΑΪΜΠΑΚΗΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΜΠΟΓΡΗ ΚΩΝΣΤΑΝΤΙΝΑ του Θεοδώρου,Οικολόγοι Πράσινοι,ΜΗΤΡΟ ΖΑΧΑΡΟΥΛΑ του Αναστάση,ΜΗΤΡΟΣ ΑΧΙΛΛΕΑΣ του Αναστάση,ΠΕΤΡΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,ΕΑΝ...,ΦΛΙΣΚΑΝΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΔΗΜΟΥΛΗ ΑΝΔΡΙΑΝΗ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΟΥΣΟΥΡΗΣ ΠΕΤΡΟΣ του Δημητρίου,ΣΟΦΙΟΥ ΠΑΝΑΓΙΩΤΑ (ΝΟΤΑ) του Στυλιανού,ΤΖΙΚΑ ΒΑΣΙΛΙΚΗ του Δημητρίου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΠΑΥΛΟΣ του Γεωργίου
40 - Α' Πειραιώς,45 E.T. Δήμου Πειραιώς,553,348,7,1,8,340,138,29,40,51,18,26,57,9,67,0,8,17,15,9,21,12,27,8,3,2,9,10,6,5,35,7,2,2,1,7,8,9,10,2,1,2,0,0,4,3,9,0,2,1,3,1,0,1,1,1,3,2,1,0,0,0,2,1,1,0,0,1,0,1,2,1,7,6,4,2,2,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,7,3,3,5,0,0,2,1,16,2,8,5,0
40 - Α' Πειραιώς,46 E.T. Δήμου Πειραιώς,557,383,6,1,7,376,172,18,41,82,33,58,60,8,90,0,17,23,22,11,28,14,18,4,3,6,7,5,3,1,37,15,2,4,9,5,7,9,10,2,1,1,0,0,5,5,10,2,4,0,0,4,0,2,0,2,2,1,1,0,0,0,3,1,2,0,0,2,1,0,1,0,5,2,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,1,3,0,0,0,1,0,0,1,0,1,1,1,0,5,3,2,2,1,1,0,0,7,1,3,4,0
40 - Α' Πειραιώς,47 E.T. Δήμου Πειραιώς,561,363,5,3,8,355,170,43,41,68,29,27,57,8,52,0,6,13,14,9,8,14,24,3,7,2,6,4,6,2,32,9,3,0,1,6,9,7,15,4,1,2,1,0,6,4,13,4,5,2,0,3,1,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,1,0,3,3,2,0,1,0,1,7,3,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,1,1,2,0,1,0,0,0,0,0,1,1,1,0,1,0,4,3,3,0,3,2,1,0,17,4,4,6,2
40 - Α' Πειραιώς,48 E.T. Δήμου Πειραιώς,555,381,5,1,6,375,153,25,24,68,24,24,74,7,85,0,8,19,15,18,28,9,29,8,4,4,9,8,2,4,42,22,7,2,2,3,14,8,12,5,0,2,2,1,1,2,18,3,6,2,3,5,4,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,2,1,2,0,3,2,1,5,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1,0,0,0,2,0,2,4,3,0,0,0,0,2,0,0,0,0,0,0,0,8,0,4,2,0
40 - Α' Πειραιώς,49 E.T. Δήμου Πειραιώς,557,381,2,3,5,376,163,28,37,63,33,8,60,13,73,0,16,24,16,12,25,10,28,7,4,2,7,5,4,2,33,17,2,2,5,5,3,10,10,3,4,1,1,1,3,3,16,4,1,3,2,4,2,4,3,3,1,1,1,0,0,0,4,2,0,1,0,0,2,1,0,0,3,1,5,4,3,3,0,1,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,1,0,0,0,7,6,3,2,0,0,0,0,11,3,4,2,4
40 - Α' Πειραιώς,50 E.T. Δήμου Πειραιώς,554,380,9,2,11,369,169,33,36,57,37,24,57,5,80,0,11,20,17,8,22,10,33,5,2,11,8,7,7,4,26,10,2,0,5,1,7,8,11,3,0,1,3,1,3,3,7,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,2,1,1,0,2,1,1,3,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,2,1,8,5,0,5,1,1,0,0,0,0,0,0,0,1,1,0,1,2,2,2,0,2,2,0,0,14,2,6,5,0
40 - Α' Πειραιώς,51 E.T. Δήμου Πειραιώς,555,359,2,2,4,355,178,39,54,65,25,30,57,6,68,0,12,14,16,6,20,14,31,12,2,6,8,16,6,2,18,6,1,1,3,4,5,2,6,1,0,2,1,0,0,2,11,2,6,2,1,3,2,0,0,0,0,0,0,0,0,0,7,2,1,0,0,2,0,0,2,0,3,2,4,2,2,8,0,0,3,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,2,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,8,2,4,3,2
40 - Α' Πειραιώς,52 E.T. Δήμου Πειραιώς,557,377,3,0,3,374,153,38,35,56,36,19,59,4,74,0,14,15,19,19,12,8,29,9,0,3,7,16,6,2,32,14,2,1,5,5,7,3,12,2,2,4,3,2,5,3,19,6,10,4,1,5,1,2,2,1,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,5,1,2,1,1,7,6,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,5,2,0,3,1,1,0,0,1,0,0,5,5,0,0,0,0,1,1,0,1,0,0,0,0,18,5,9,12,0
40 - Α' Πειραιώς,53 E.T. Δήμου Πειραιώς,562,360,5,3,8,352,152,33,35,66,27,18,46,3,73,33,13,21,17,6,11,6,19,3,3,2,9,6,2,1,37,11,4,4,2,5,10,9,15,4,4,3,1,0,2,5,6,2,1,0,1,3,0,0,0,0,1,1,1,0,0,0,3,2,1,1,1,0,1,0,0,0,3,3,5,2,2,7,3,2,1,2,4,1,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,2,0,0,0,0,0,3,2,3,1,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,6,3,0,2,0,0,0,0,13,5,6,6,1
40 - Α' Πειραιώς,54 E.T. Δήμου Πειραιώς,558,389,8,1,9,380,181,46,50,69,32,33,88,5,74,35,8,30,11,7,24,8,18,4,4,2,3,3,3,3,29,11,2,2,3,3,7,9,19,8,8,2,1,4,5,6,7,0,3,1,2,2,0,1,1,0,2,2,2,0,0,0,3,0,0,1,2,1,0,2,5,3,3,2,5,4,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,5,2,0,1,3,2,0,0,4,3,2,3,3,0,0,0,0,3,0,0,0,3,2,1,0,9,3,7,5,2
40 - Α' Πειραιώς,55 E.T. Δήμου Πειραιώς,559,344,9,2,11,333,148,31,31,52,23,22,42,4,70,0,14,18,12,8,13,5,23,5,3,5,7,7,5,1,36,16,2,2,3,9,9,7,8,2,1,0,1,0,3,2,9,4,0,3,1,3,2,0,0,0,1,0,0,0,0,0,5,1,0,0,0,1,0,0,1,1,3,1,3,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,1,0,2,1,1,1,0,1,0,0,1,1,1,0,4,0,1,1,1,0,1,0,12,3,4,2,0
40 - Α' Πειραιώς,56 E.T. Δήμου Πειραιώς,522,350,12,2,14,336,144,28,36,46,20,27,55,6,69,69,6,16,12,7,22,10,25,7,3,3,7,3,5,8,36,13,5,2,5,5,8,10,10,3,2,0,1,0,0,0,9,2,4,0,0,4,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,2,2,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,1,1,0,0,1,1,1,2,1,2,2,0,1,2,1,1,1,2,0,0,0,19,7,13,8,3
40 - Α' Πειραιώς,57 E.T. Δήμου Πειραιώς,551,303,9,2,11,292,134,35,23,59,20,19,48,1,57,0,10,8,13,6,10,9,18,1,3,1,2,9,2,1,21,11,1,2,3,6,3,8,14,4,2,2,2,2,7,1,9,3,1,0,2,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4,2,2,1,1,13,5,2,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,0,1,1,0,2,0,0,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,8,0,8,1,0
40 - Α' Πειραιώς,58 E.T. Δήμου Πειραιώς,602,362,12,1,13,349,146,29,21,58,38,19,51,12,71,0,13,21,18,12,8,8,31,6,6,2,10,9,7,1,27,8,5,4,3,6,9,6,13,6,0,3,3,1,4,3,10,1,3,2,3,2,3,0,0,0,1,1,0,0,0,0,3,1,0,0,1,0,1,0,4,0,1,0,3,2,2,13,2,0,1,5,5,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,2,4,1,1,1,3,0,1,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,1,1,0,0,0,0,10,1,6,7,2
40 - Α' Πειραιώς,59 E.T. Δήμου Πειραιώς,599,279,4,1,5,274,96,16,18,49,21,18,31,3,66,66,15,11,12,10,10,11,28,1,7,3,5,10,4,2,25,10,4,3,4,6,5,4,9,2,1,3,0,0,1,0,10,1,7,0,1,3,1,3,3,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,4,4,3,2,4,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,3,2,2,0,0,0,1,1,13,5,7,3,2
40 - Α' Πειραιώς,60 E.T. Δήμου Πειραιώς,616,239,3,3,6,233,109,21,23,41,19,20,33,7,48,48,4,8,12,7,8,9,15,2,5,2,3,1,3,1,14,6,2,2,4,3,5,3,10,1,0,0,0,0,0,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,2,1,1,1,9,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,1,1,7,2,5,4,1
40 - Α' Πειραιώς,61 E.T. Δήμου Πειραιώς,572,206,9,2,11,195,72,15,10,31,16,8,23,2,47,0,13,19,4,3,5,8,8,0,4,0,3,3,3,1,21,6,1,3,1,3,5,4,8,4,2,0,1,1,5,2,3,0,1,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,3,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,3,2,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,10,4,4,2,3
40 - Α' Πειραιώς,62 E.T. Δήμου Πειραιώς,522,204,10,2,12,192,85,26,15,41,18,15,27,7,45,21,12,10,11,6,8,5,9,1,2,1,3,2,2,0,19,8,4,0,7,4,2,1,7,2,1,3,0,1,5,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,1,1,2,2,2,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,3,3,3,1
40 - Α' Πειραιώς,63 E.T. Δήμου Πειραιώς,519,289,9,0,9,280,124,26,30,53,20,18,40,9,50,27,6,15,7,9,6,2,18,4,3,2,4,2,7,2,36,10,9,1,3,9,10,9,12,4,3,1,1,0,5,5,8,2,6,1,1,3,1,0,0,0,1,1,0,1,0,0,2,1,1,2,0,0,0,0,1,1,1,0,0,0,0,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,2,2,2,2,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,4,2,1,1,1,1,0,0,11,1,5,6,2
40 - Α' Πειραιώς,64 E.T. Δήμου Πειραιώς,518,287,21,4,25,262,113,22,18,61,21,13,39,5,52,52,4,20,13,4,14,8,15,2,4,5,5,1,4,0,28,14,9,1,9,3,6,5,14,5,4,1,1,0,3,6,5,1,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,0,4,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,5,1,2,2,0,1,0,0,1,1,1,1,1,1,0,0,0,2,0,0,0,2,1,0,0,10,3,5,3,1
40 - Α' Πειραιώς,65 E.T. Δήμου Πειραιώς,530,305,6,2,8,297,135,25,31,61,25,13,39,5,64,36,7,11,11,9,12,4,16,4,3,3,1,7,2,1,20,5,3,0,1,4,6,9,16,5,2,2,3,1,1,7,7,1,1,2,1,0,1,1,1,1,1,0,1,1,0,0,3,0,0,1,0,0,0,0,1,0,1,1,1,1,0,5,3,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,2,0,0,2,1,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,6,4,1,1,1,1,0,0,9,4,7,4,0
40 - Α' Πειραιώς,66 E.T. Δήμου Πειραιώς,532,302,15,3,18,284,120,33,20,45,24,13,31,8,71,0,12,17,17,7,11,11,16,4,1,4,3,4,5,3,22,11,3,3,0,7,2,4,17,7,2,1,3,0,4,6,4,0,1,0,0,1,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,6,1,0,0,0,7,2,0,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,7,2,2,1,3
40 - Α' Πειραιώς,67 E.T. Δήμου Πειραιώς,523,363,14,1,15,348,151,38,21,63,32,25,51,9,84,0,16,27,17,10,10,9,13,3,6,1,2,6,3,0,28,7,1,0,4,7,13,10,17,4,6,3,2,2,5,2,12,2,2,8,1,3,5,3,0,3,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,4,1,1,1,1,3,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,4,1,0,0,2,1,0,0,1,0,1,3,2,1,1,0,0,6,3,1,3,2,2,0,0,8,3,4,2,3
40 - Α' Πειραιώς,68 E.T. Δήμου Πειραιώς,535,358,14,0,14,344,140,32,22,51,31,26,42,10,71,0,16,12,13,4,13,10,24,5,8,3,8,4,3,4,32,15,4,2,5,12,4,6,14,5,4,3,2,2,1,2,6,3,1,0,0,0,0,1,1,1,1,0,0,0,0,0,3,2,0,1,1,0,0,0,1,0,6,3,2,2,2,7,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,6,0,2,3,1,4,1,1,3,5,2,2,1,1,0,0,0,13,2,5,8,1
40 - Α' Πειραιώς,69 E.T. Δήμου Πειραιώς,543,343,12,0,12,331,149,38,19,65,37,24,43,7,55,0,9,13,11,7,10,5,23,7,5,4,8,4,2,2,35,15,2,1,3,7,12,9,16,4,4,4,3,0,6,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,8,7,3,1,1,4,1,0,2,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,4,2,2,0,2,1,2,0,2,0,0,1,0,1,0,2,2,2,0,1,0,0,0,14,3,7,3,1
