ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΖΕΜΠΙΛΗΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΚΑΡΑΜΠΑΤΣΩΛΗ ΚΩΝΣΤΑΝΤΙΝΑ του Θεοδώρου,ΚΑΡΒΕΛΑΣ ΣΤΥΛΙΑΝΟΣ (ΣΤΕΛΙΟΣ) του Ιωάννη,ΚΕΔΙΚΟΓΛΟΥ ΣΥΜΕΩΝ (ΣΙΜΟΣ) του Βασιλείου,ΛΑΓΟΣ ΦΩΤΙΟΣ του Κωνσταντίνου,ΠΝΕΥΜΑΤΙΚΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΣΤΑΜΑΤΕΑ-ΒΑΡΔΟΥΛΑΚΗ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΤΡΙΓΩΝΗ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Μάνθου-Κωνσταντίνου,ΣΥΡΙΖΑ,ΑΚΡΙΩΤΟΥ ΘΕΟΔΩΡΑ του Γεωργίου,ΑΠΟΣΤΟΛΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΓΙΑΧΟΛΛΑΡΗ ΑΓΓΕΛΟΣ ΔΙΟΝΥΣΙΟΣ του Νίκο,ΘΑΛΑΣΣΙΝΟΥ ΑΛΕΞΑΝΔΡΑ του Γεωργίου,ΚΕΔΙΚΟΓΛΟΥ ΣΥΜΕΩΝ του Άγγελου,ΛΙΒΑΝΙΟΥ ΖΩΗ του Ευάγγελου,ΦΡΥΓΑΝΙΩΤΗ ΕΥΛΑΜΠΙΑ (ΒΑΝΑ) του Γεωργίου,ΧΑΤΖΗΓΙΑΝΝΑΚΗΣ ΜΙΛΤΙΑΔΗΣ του Ευάγγελου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΘΕΟΔΩΡΟΥ ΑΛΕΞΑΝΔΡΟΣ του Ιωάννη,ΚΑΖΑΝΗ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,ΚΑΛΑΒΡΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΚΙΟΥΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΜΠΟΥΡΑΝΤΑΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΣΟΥΡΡΑΣ ΙΩΑΝΝΗΣ του Σπυρίδωνος,ΤΑΡΤΗΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΤΟΥΛΟΥΜΗ ΑΝΝΑ - ΕΙΡΗΝΗ του Νικολάου,Κ.Κ.Ε.,ΑΥΛΩΝΙΤΗ ΔΗΜΗΤΡΑ (ΤΑΝΙΑ) του Ευαγγέλου,ΓΕΩΡΓΑΝΤΖΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΜΑΡΙΝΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΜΟΥΤΟΥΣΙΔΗΣ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΠΑΠΑΣΩΤΗΡΙΟΥ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΠΥΘΟΥΛΑ ΓΕΩΡΓΙΑ ΔΕΣΠΟΙΝΑ του Παρασκευά,ΤΖΑΒΑΡΑΣ ΙΩΑΝΝΗΣ του Ευαγγέλου Αντωνίου,ΤΣΙΒΙΚΑ ΓΡΑΝΕΤΑ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΜΟΝΗΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΓΙΑΠΑΠΠΑ ΕΥΑΓΓΕΛΙΑ του Ευσταθίου,ΚΑΤΣΙΑΜΑΚΑΣ ΙΩΑΝΝΗΣ του Σπυρίδωνος,ΛΙΩΝΗΣ ΕΥΑΓΓΕΛΟΣ του Ιωάννη,ΜΠΑΣΟΥΚΟΣ ΑΠΟΣΤΟΛΟΣ του Ανέστη,ΠΑΠΑΝΔΡΕΟΥ ΔΑΥΙΔ- ΕΥΣΤΑΘΙΟΣ του Νικολάου,ΤΣΑΛΑΜΑΝΙΟΥ ΑΜΒΡΟΣΙΑ του Στρατηγάκη,ΤΣΙΜΠΟΥ ΦΩΤΕΙΝΗ του Χρήστου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΛΕΞΙΟΥ ΔΗΜΗΤΡΙΟΣ του Ευαγγέλου,ΕΛΕΥΘΕΡΙΑΔΟΥ ΔΕΣΠΟΙΝΑ του Σωκράτη,ΚΑΡΑΠΑ ΑΓΓΕΛΙΚΗ του Ιωάννη,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΕΥΘΥΜΙΟΣ (ΜΑΚΗΣ) του Ιωάννη,ΠΑΠΑΛΥΜΠΕΡΗΣ ΙΣΙΔΩΡΟΣ του Δημητρίου,ΡΟΓΚΑ ΣΠΥΡΙΔΑ (ΙΡΙΔΑ) του Γεωργίου,ΣΤΟΥΡΝΑΡΑΣ ΙΩΑΝΝΗΣ-ΛΑΖΑΡΟΣ του Κωνσταντίνου,ΧΑΤΖΗΚΑΛΥΜΝΙΟΥ ΔΗΜΗΤΡΑ του Στέργου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΡΔΩΝΗ ΣΟΦΙΑ του Αθανασίου,ΚΥΡΙΑΖΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΤΟΥΛΙΤΣΗΣ ΕΠΑΜΕΙΝΩΝΔΑΣ του Κωνσταντίνου,ΦΟΝΤΟΡ ΕΛΕΝΑ του Αντρέι,ΧΡΙΣΤΟΦΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΤΣΙΛΙΧΡΗΣΤΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΔΗΜΑΤΑ ΑΝΑΣΤΑΣΙΑ του Παναγιώτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΘΕΟΤΟΚΑΤΟΣ ΛΟΥΚΑΣ του Ανδρέα,ΚΙΤΣΟΣ ΙΩΑΝΝΗΣ του Ζώη,ΚΟΥΡΝΟΠΟΥΛΟΥ ΑΝΤΩΝΙΑ του Δημοσθένη,ΜΠΕΝΖΕΛΟΥΝ ΑΡΑΜΠΙ ΣΟΦΙΑ του Αμπτελσαμάντ,ΜΠΟΥΣΟΥΛΑΣ ΘΕΟΔΩΡΟΣ του Χαραλάμπους,ΤΡΑΧΑΝΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Κίνημα 21,ΜΟΣΣ ΕΒΕΛΙΝΑ – ΓΕΩΦΡΑΝΑ του Ντόναλντ,ΡΕΓΚΟΥΚΟΣ ΣΤΑΜΑΤΙΟΣ του Θεόδωρου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΦΟΥΣΤΕΡΗΣ ΙΩΑΝΝΗΣ του Νικήτα,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΘΑΝΑΣΙΑΔΗ ΝΑΤΑΛΙΑ του Ιωάννη,ΠΟΛΙΤΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΣΤΑΜΑΤΙΟΥ ΧΡΗΣΤΟΣ του Ιωάννη,ΝΙΚΗ,ΤΣΟΚΑΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,κοινωνία αξιών,ΠΑΝΑΓΙΩΤΟΥ ΑΛΕΞΑΝΔΡΑ του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΒΑΛΒΗ ΜΑΡΙΑ του Νικολάου,ΓΑΖΑΚΗ ΘΕΑΝΩ του Κωνσταντίνου,ΜΗΤΣΑΣ ΔΗΜΗΤΡΙΟΣ του Παντελή,Ο.Α.Κ.Κ.Ε.,ΜΗΛΤΣΟΥ ΒΑΣΙΛΙΚΗ του Στεφάνου,Μ-Λ Κ.Κ.Ε.,ΖΩΓΡΑΦΟΥ ΣΟΥΛΤΑΝΑ του Κωνσταντίνου,Ελλήνων Συνέλευσις,ΘΕΜΕΛΗΣ ΧΡΙΣΤΟΦΟΡΟΣ του Ιωάννη,ΙΑΚΩΒΟΥ ΑΝΑΣΤΑΣΙΑ του Πέτρου,Ένωση Κεντρώων,ΓΙΑΝΝΑΚΟΥΡΗ ΑΝΝΑ - ΜΑΡΙΑ του Αναστασίου,ΓΚΑΒΑΛΗΣ ΝΙΚΟΛΑΟΣ του Προκοπίου,ΔΡΟΥΛΙΑΣ ΕΥΘΥΜΙΟΣ του Δημητρίου,ΣΥΡΟΠΟΥΛΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΤΣΙΜΠΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΝΤΕΡΜΠΕΝΤΕΡΗ ΚΡΥΣΤΑΛΛΙΑ του Αθανασίου,ΧΑΡΑΛΑΜΠΟΥΣ ΓΙΑΝΝΗΣ του Ευσταθίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΔΑΥΡΗΣ ΑΛΕΞΑΝΔΡΟΣ του Ανδρέα,ΔΕΔΕΣ ΙΩΑΝΝΗΣ του Αντωνίου,ΛΑΜΠΡΟΥ ΣΤΑΥΡΟΣ του Γεωργίου,ΜΑΛΑ ΛΟΥΚΙΑ του Μιλτιάδη,ΜΑΡΜΑΡΙΝΟΣ ΧΡΗΣΤΟΣ του Αναστασίου,ΜΗΤΣΙΟΠΟΥΛΟΥ ΕΥΘΥΜΙΑ του Αντωνίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΥΜΟΥΡΤΖΗ ΕΛΕΝΗ του Αποστόλου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΓΛΥΤΣΗΣ ΕΜΜΑΝΟΥΗΛ του Γεωργίου,Κ.Ο.Τ.Ε.Σ.,ΜΠΑΪΚΟΥΣΗ ΑΛΕΞΑΝΔΡΑ του Αθανασίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΛΟΓΙΑΝΝΗΣ ΚΛΕΑΡΧΟΣ του Κωνσταντίνου,ΜΕΤΑΛΛΗΝΟΥ ΕΥΑΓΓΕΛΙΑ του Σπυρίδωνος,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΤΕΛΙΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Οικολόγοι Πράσινοι,ΠΟΛΙΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Φωκίωνα,ΕΑΝ...,ΠΑΡΙΣΗ - ΚΟΤΣΟΠΟΥΛΗ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΝΤΑΛΙΑΝΗΣ ΑΡΓΥΡΙΟΣ του Στεφάνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΖΩΗ του Νικολάου,ΔΡΑΚΟΥΛΗΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,ΚΑΨΟΡΑΧΗΣ ΑΘΑΝΑΣΙΟΣ του Ευσταθίου,ΡΟΥΜΠΗΣ ΕΥΑΓΓΕΛΟΣ του Ευθυμίου,ΣΤΑΡΑΝΤΖΗ ΜΑΡΙΑ του Γεωργίου
37 - Ευβοιας,44 E.T. Δήμου Διρφύων - Μεσσαπίων,67,43,1,0,1,42,13,7,0,1,5,0,8,0,1,4,2,0,1,0,1,1,0,0,10,4,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,2
37 - Ευβοιας,45 E.T. Δήμου Διρφύων - Μεσσαπίων,420,290,6,2,8,282,121,42,3,20,31,26,25,14,7,36,14,5,1,3,18,3,4,4,49,8,9,36,0,3,4,11,0,13,3,1,2,1,0,5,1,2,14,6,2,0,0,2,2,2,3,5,1,1,2,0,0,0,0,0,7,1,0,7,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,4,1,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,2,1,3,3,3,2,3,0,0,1,0,0,0,0,0,11,11,2,1,0,4
37 - Ευβοιας,46 E.T. Δήμου Διρφύων - Μεσσαπίων,406,262,3,2,5,257,118,33,11,23,26,28,30,20,8,44,17,7,3,2,17,6,6,4,27,5,13,18,0,2,0,3,0,13,1,0,2,6,1,6,5,0,8,2,1,1,0,1,4,2,1,5,0,1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,1,1,1,1,2,1,0,0,17,15,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,1,2,2,2,0,0,0,0,0,0,1,1,10,10,0,0,2,3
37 - Ευβοιας,47 E.T. Δήμου Διρφύων - Μεσσαπίων,412,269,0,2,2,267,96,32,1,6,41,17,26,9,5,53,22,10,1,6,27,9,7,6,50,13,15,39,0,4,1,4,1,13,2,0,4,3,1,7,1,1,13,6,0,3,1,0,3,0,2,6,1,2,1,0,0,1,1,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,12,12,0,1,2,5
37 - Ευβοιας,48 E.T. Δήμου Διρφύων - Μεσσαπίων,312,228,3,0,3,225,94,25,3,4,39,3,40,5,12,47,10,6,0,3,16,2,0,9,36,3,8,29,2,2,0,9,2,3,1,0,2,0,0,1,0,0,14,2,0,8,0,1,2,1,1,2,0,1,2,0,0,1,0,0,3,1,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,4,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,12,12,0,0,4,1
37 - Ευβοιας,49 E.T. Δήμου Διρφύων - Μεσσαπίων,437,317,6,0,6,311,119,49,6,9,84,2,56,4,7,41,8,14,0,4,27,6,1,11,75,7,33,43,2,4,1,45,0,16,1,0,3,6,0,8,4,1,15,3,0,3,0,2,3,2,4,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,2,2,4,1,2,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,21,21,1,1,20,0
37 - Ευβοιας,50 E.T. Δήμου Διρφύων - Μεσσαπίων,428,311,2,2,4,307,83,22,4,8,50,2,26,7,9,32,6,7,0,3,19,1,0,5,90,8,34,50,1,0,2,39,0,15,1,1,2,5,0,11,1,2,17,5,0,7,2,1,2,0,2,9,0,2,0,0,0,4,2,2,6,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3,1,0,0,4,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,1,1,2,1,33,33,0,0,29,0
37 - Ευβοιας,51 E.T. Δήμου Ερέτριας,503,326,10,2,12,314,131,73,21,5,47,4,48,9,2,54,6,9,16,7,19,8,9,12,47,16,29,5,6,5,1,1,2,20,2,1,8,1,0,1,0,3,10,7,1,0,0,3,3,1,1,7,1,2,0,0,0,1,2,1,8,3,2,2,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,2,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,2,0,1,0,0,0,12,12,2,0,1,2
37 - Ευβοιας,52 E.T. Δήμου Ερέτριας,503,335,2,0,2,333,143,69,22,5,30,10,60,5,6,72,11,16,18,7,19,2,11,12,29,10,15,4,1,7,0,6,2,13,2,1,5,1,0,0,4,2,13,3,1,1,1,3,4,1,0,15,4,3,3,1,1,4,0,1,3,2,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,2,2,1,1,0,5,1,3,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,2,2,1,2,1,1,0,1,0,2,2,17,0,0,0,5,3
37 - Ευβοιας,53 E.T. Δήμου Ερέτριας,514,339,8,3,11,328,156,92,24,5,39,3,52,14,7,55,7,10,21,7,11,6,2,8,31,16,15,1,1,10,3,1,1,15,4,1,8,2,2,2,1,3,29,10,3,5,1,2,8,3,5,5,1,3,1,0,0,1,0,0,9,4,2,2,1,1,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,2,0,1,1,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0,0,1,0,1,1,0,0,8,8,0,1,0,4
37 - Ευβοιας,54 E.T. Δήμου Ερέτριας,520,347,5,2,7,340,162,88,14,9,64,5,62,10,3,47,7,8,20,11,12,2,8,12,32,6,23,1,0,1,12,2,1,12,5,0,4,0,0,1,0,1,31,9,2,4,5,4,14,1,3,4,1,1,0,0,0,0,0,0,11,2,1,1,2,7,0,0,0,0,1,0,0,0,0,0,0,6,1,1,0,0,1,0,0,1,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,2,1,0,0,2,2,1,0,0,1,0,0,0,0,0,12,12,2,0,1,3
37 - Ευβοιας,55 E.T. Δήμου Ερέτριας,503,301,3,0,3,298,134,54,13,9,24,7,66,9,8,63,12,14,16,9,16,4,10,5,29,11,14,7,3,1,0,1,3,14,2,2,6,1,0,3,0,3,13,5,1,6,4,2,4,0,2,8,1,0,0,0,3,0,0,1,6,1,0,3,1,1,2,1,0,0,1,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,0,0,3,1,0,0,0,1,0,0,0,1,0,1,0,0,2,1,0,0,1,1,1,1,0,2,0,0,0,1,0,3,3,0,0,1,0
37 - Ευβοιας,56 E.T. Δήμου Ερέτριας,511,347,2,0,2,345,153,58,19,11,51,9,61,8,7,54,7,10,23,15,10,3,7,13,32,15,11,3,2,1,1,4,5,28,8,0,13,6,2,1,1,7,25,9,3,4,1,4,5,3,8,11,1,2,2,4,2,0,0,4,2,1,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,2,1,1,1,1,0,13,10,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,1,3,1,2,1,0,1,1,0,0,1,0,0,0,2,0,1,1,0,3,3,3,2,3,0,1,1,1,0,0,0
37 - Ευβοιας,57 E.T. Δήμου Ερέτριας,489,336,5,1,6,330,131,57,23,7,39,5,61,14,8,70,12,9,13,18,18,9,5,7,39,12,22,13,1,6,1,2,3,25,9,1,14,6,0,1,3,3,12,5,1,2,0,3,1,1,4,4,2,1,2,0,0,0,0,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,5,3,3,1,0,3,2,0,0,2,1,9,9,1,0,0,2
37 - Ευβοιας,58 E.T. Δήμου Ερέτριας,498,319,10,1,11,308,100,38,11,5,16,3,43,3,4,46,6,9,3,9,10,5,6,8,46,9,22,5,3,1,0,23,1,22,8,2,11,3,0,3,4,1,42,5,7,5,2,11,10,1,2,3,1,1,0,0,1,0,0,1,6,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,1,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,1,0,2,1,1,0,22,22,4,0,4,4
37 - Ευβοιας,59 E.T. Δήμου Ερέτριας,473,355,4,3,7,348,148,70,14,12,37,13,72,14,8,72,10,15,4,6,30,3,8,21,47,13,14,21,3,5,0,7,3,9,1,0,4,0,0,1,1,3,24,5,2,1,2,6,6,1,5,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,1,1,0,0,0,9,5,0,0,1,1,0,1,0,0,0,0,0,0,0,3,2,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,5,4,2,0,1,0,1,1,1,1,1,0,0,3,2,8,8,0,1,3,0
37 - Ευβοιας,60 E.T. Δήμου Ερέτριας,467,328,5,3,8,320,138,52,23,17,44,17,67,5,12,83,12,33,5,11,30,3,6,30,49,14,14,19,3,1,0,9,2,11,1,0,5,0,0,1,0,3,5,2,0,0,0,1,2,0,2,11,2,4,1,0,1,3,0,0,3,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,2,2,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,10,10,0,0,2,1
37 - Ευβοιας,61 E.T. Δήμου Ερέτριας,468,323,7,3,10,313,161,64,19,21,37,13,79,11,5,41,4,9,6,6,17,1,4,13,48,8,12,17,3,6,0,7,2,11,2,0,4,1,0,1,2,3,13,2,1,1,0,7,2,0,2,2,1,1,0,0,0,1,0,0,10,2,4,4,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,12,12,1,0,2,1
37 - Ευβοιας,62 E.T. Δήμου Ερέτριας,459,306,5,2,7,299,134,68,18,13,34,18,69,5,5,61,9,13,3,11,22,5,10,13,38,12,12,23,2,3,1,9,5,9,3,0,7,3,0,0,0,3,18,5,3,2,2,3,3,2,2,4,1,0,1,0,0,1,0,0,8,4,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,3,3,3,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,4,3,1,1,1,0,0,1,1,0,0,1,0,7,7,0,0,3,2
37 - Ευβοιας,63 E.T. Δήμου Ερέτριας,403,268,9,3,12,256,140,95,17,4,33,5,42,8,6,22,6,8,2,1,4,4,3,3,25,6,17,5,1,2,2,5,1,12,2,1,3,1,0,3,0,3,13,2,2,2,2,1,6,3,3,1,0,0,0,0,0,0,0,0,9,6,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,6,5,6,0,0,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,3,2,2,9,3,3,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,5,5,0,0,0,0
37 - Ευβοιας,64 E.T. Δήμου Ερέτριας,354,168,6,1,7,161,89,62,6,4,23,5,34,6,3,23,8,3,4,2,9,4,5,7,23,6,9,2,0,5,0,10,1,2,0,0,1,1,1,0,1,0,11,1,1,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,7,7,0,0,1,2
37 - Ευβοιας,65 E.T. Δήμου Ερέτριας,525,343,7,0,7,336,139,47,27,8,36,9,62,14,7,72,10,10,7,9,21,7,13,14,38,18,12,5,0,0,2,5,3,18,7,3,8,2,0,3,1,1,21,3,1,3,0,15,1,0,1,8,1,0,1,1,0,1,0,0,5,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12,11,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,3,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,2,1,2,1,1,0,1,0,3,3,0,0,1,0
37 - Ευβοιας,66 E.T. Δήμου Ερέτριας,530,357,1,2,3,354,169,76,28,5,63,9,49,11,11,64,10,11,7,9,20,6,14,17,41,21,13,5,0,0,2,9,2,15,9,1,4,2,0,3,2,3,20,5,2,3,3,8,2,1,0,5,0,1,1,0,0,3,1,0,6,0,1,1,1,3,0,0,0,0,2,0,0,2,0,0,0,2,0,1,0,0,1,1,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,2,2,1,0,2,1,11,11,4,0,0,2
37 - Ευβοιας,67 E.T. Δήμου Ερέτριας,543,351,3,0,3,348,131,42,25,8,38,15,43,12,7,83,24,18,4,19,29,6,11,15,41,17,19,9,3,7,0,11,4,18,9,2,6,0,0,5,0,2,24,8,2,3,0,14,1,0,5,4,0,1,1,1,0,2,0,1,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,5,0,2,0,8,6,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,1,1,3,0,1,1,1,0,12,0,1,1,1,3
37 - Ευβοιας,68 E.T. Δήμου Ερέτριας,530,326,6,3,9,317,120,31,25,11,42,6,36,14,7,70,16,12,5,8,26,5,5,18,39,14,12,11,2,6,4,6,3,24,13,2,14,1,0,2,0,2,21,3,0,1,0,14,0,1,3,6,3,0,1,1,0,2,0,1,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,9,2,4,4,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,1,1,1,1,1,0,9,9,0,0,1,1
