ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΥΛΩΝΙΤΗ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΓΚΙΚΑΣ ΣΤΕΦΑΝΟΣ του Σωτηρίου,ΚΑΡΥΔΗ ΕΥΑΓΓΕΛΙΑ (ΕΥΑ) του Σπυρίδωνος,ΚΡΟΚΙΔΗΣ ΣΠΥΡΙΔΩΝ του Αλεξάνδρου,ΣΠΥΡΟΥ ΑΓΓΕΛΟΣ του Σπυρίδωνος,ΣΥΡΙΖΑ,ΑΥΛΩΝΙΤΗΣ ΑΛΕΞΑΝΔΡΟΣ - ΧΡΗΣΤΟΣ του Νικολάου,ΓΟΝΙΔΗ-ΔΡΑΖΙΝΟΥ ΜΑΡΙΑ του Φραγκίσκου,ΚΑΛΟΥΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΠΑΓΚΡΑΤΗ ΕΛΕΝΗ - ΔΩΡΟΘΕΑ του Στεφάνου,ΠΑΝΔΗ ΝΙΚΟΛΕΤΤΑ του Κωνσταντίνου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΔΡΥ ΜΑΡΙΑ του Γεωργίου,ΚΛΗΜΗΣ ΝΙΚΗΦΟΡΟΣ του Κωνσταντίνου,ΚΟΥΛΟΥΡΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΜΠΙΑΓΚΗΣ ΔΗΜΗΤΡΙΟΣ του Σπυρίδωνος,ΠΕΤΣΙΟΥ ΒΑΣΙΛΙΚΗ (ΛΙΛΑ) του Ιωάννη,Κ.Κ.Ε.,ΚΕΛΑΝΔΡΙΑΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,ΚΟΥΛΟΥΡΗΣ ΓΕΩΡΓΙΟΣ του Αλέξανδρου,ΜΠΑΛΟΥ ΑΛΕΞΑΝΔΡΑ του Αριστείδη,ΠΕΛΑΗΣ ΙΩΑΝΝΗΣ του Σπυρίδωνα,ΧΑΡΑΛΑΜΠΟΥΣ ΜΥΡΣΙΝΗ του Χαράλαμπου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΛΣΑΜΟΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,ΓΑΡΔΙΚΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΑΚΑΡΟΥΓΚΑ ΕΛΕΝΗ ΜΑΡΙΑ ΒΙΚΤΩΡΙΑ του Μεθοδίου Ιακώβου,ΜΠΑΛΩΜΕΝΟΣ ΓΑΣΠΑΡΗΣ του Γεωργίου,ΣΟΥΡΛΑ ΒΑΡΒΑΡΑ του Σταύρου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΛΕΞΑΚΗ ΕΥΑΓΓΕΛΙΑ (ΛΙΤΣΑ) του Νικολάου,ΑΡΜΕΝΙΑΚΟΣ ΣΠΥΡΙΔΩΝ (ΒΙΤΟΣ) του Γεωργίου,ΓΕΩΡΓΑΤΟΣ ΙΩΣΗΦ του Σπυρίδωνα,ΚΑΒΒΑΔΙΑΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΚΟΝΤΙΝΗ ΑΓΓΕΛΙΝΑ του Ευγένιου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΒΛΑΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΚΩΣΤΕΛΕΤΟΥ ΑΙΚΑΤΕΡΙΝΗ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΚΟΤΡΩΝΟΥΛΑΣ ΓΡΗΓΟΡΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΓΚΟΥΡΔΟΥΚΗ ΜΑΡΙΑ του Σπυρίδωνος,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΡΑΣΑΚΗΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΛΙΑΜΠΟΤΗ ΑΝΑΣΤΑΣΙΑ του Σωτηρίου,ΛΙΜΠΕΡΑΤΟΣ ΓΕΩΡΓΙΟΣ ΘΕΟΧΑΡΗΣ του Παναγή,ΝΙΚΟΛΙΤΣΑ ΒΑΣΙΛΙΚΗ του Κωνσταντίνου,ΤΣΑΜΗΣ ΧΡΗΣΤΟΣ του Σάββα,Κίνημα 21,ΛΟΥΚΑΣ ΓΕΩΡΓΙΟΣ του Σπυρίδων,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΘΕΟΛΟΓΗΣ ΑΘΑΝΑΣΙΟΣ του Χαράλαμπου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΑΡΑΟΥΖΑ ΒΑΣΙΛΙΚΗ του Σωτηρίου,ΡΩΣΣΗΣ ΣΠΥΡΟΣ ΓΕΡΑΣΙΜΟΣ του Κωνσταντίνου,ΤΖΗΜΕΡΟΥ ΕΡΜΙΟΝΗ του Ηλία,ΝΙΚΗ,ΚΑΡΑΒΙΔΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΡΙΚΟΥ ΕΛΕΝΗ- ΣΟΦΙΑ του Σπυρίδωνος,ΤΣΟΥΓΑΝΑΤΟΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,κοινωνία αξιών,ΠΕΤΡΙΤΣΟΠΟΥΛΟΥ ΚΛΕΟΝΙΚΗ (ΝΙΚΗ) του Θεοδώρου - Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΜΕΛΑΝΤΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,Ο.Α.Κ.Κ.Ε.,ΔΑΛΙΕΤΟΥ ΘΕΟΔΩΡΑ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΤΣΙΡΙΓΩΤΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Ελλήνων Συνέλευσις,ΒΑΣΙΛΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Νικολάου,ΒΕΡΓΗΣ ΑΛΕΞΑΝΔΡΟΣ του Σπυρίδων,ΔΑΣΚΑΛΙΕΡΟΣ ΕΥΓΕΝΙΟΣ του Λεωνίδα,ΛΑΔΟΒΡΕΧΗ ΑΙΚΑΤΕΡΙΝΗ του Σπυρίδων,ΠΑΛΑΙΟΧΩΡΙΤΗ ΕΥΣΤΑΘΙΑ του Δημοσθένη,Ένωση Κεντρώων,ΒΑΡΑΓΓΟΥΛΗ ΑΝΤΩΝΙΑ - ΕΛΕΝΗ του Δημητρίου,ΚΑΒΑΔΕΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΛΑΛΑΠΑΝΟΣ ΝΙΚΟΛΑΟΣ του Σπυρίδωνα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΑΣΙΛΑΚΗΣ ΒΑΓΓΕΛΗΣ του Δημητρίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΒΛΑΧΟΣ ΕΥΑΓΓΕΛΟΣ του Νικολάου,ΚΕΦΑΛΛΩΝΙΤΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΛΙΝΑΡΔΟΥ ΚΛΕΙΩ του Κωνσταντίνου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΤΟΛΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,Κ.Ο.Τ.Ε.Σ.,ΛΟΥΒΡΟΣ ΒΑΣΙΛΕΙΟΣ-ΡΩΜΑΝΟΣ του Νικολάου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΓΕΡΟΜΕΡΙΑΤΗ ΜΑΡΙΑ του Δημητρίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΘΥΜΗΣ ΣΠΥΡΙΔΩΝ του Αλεξίου,ΠΙΚΟΥΛΑ ΧΡΙΣΤΙΝΑ του Δημητρίου,ΕΑΝ...,ΧΡΥΣΙΚΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ (ΧΑΪΔΩ) του Χριστοφόρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΜΠΡΙΛΑΚΗ ΕΛΕΥΘΕΡΙΑ του Ευαγγέλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΟΥΡΛΗ ΚΩΛΕΤΤΗ ΒΑΣΙΛΙΚΗ του Αναργύρου,ΓΕΩΡΓΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ - ΣΠΥΡΙΔΩΝ του Νικολάου,ΖΕΡΒΟΥ ΑΡΕΤΟΥΣΑ (ΑΡΕΤΗ) του Γεωργίου
26 - Κέρκυρας,55 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,391,196,4,1,5,191,50,1,29,0,6,8,45,15,7,14,1,3,14,2,2,2,5,2,28,1,0,6,6,11,1,0,1,0,0,0,8,1,0,0,3,1,7,4,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,0,0,1,6,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,1,4,2,1,1,3,3,1,1,0,0,1,0,0,0,0,0,0,13,1,7,2
26 - Κέρκυρας,56 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,521,350,4,0,4,346,163,6,74,12,24,34,57,32,3,4,3,9,21,3,3,1,13,0,16,1,0,2,2,9,11,1,4,0,0,0,7,3,0,0,1,0,8,4,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,2,0,1,0,15,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,1,0,3,1,2,2,2,1,1,0,0,1,0,25,0,22,0
26 - Κέρκυρας,57 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,440,178,4,1,5,173,56,3,36,2,9,4,37,15,2,6,1,1,33,15,4,0,11,0,5,0,0,0,0,4,5,1,0,1,0,0,4,1,1,0,1,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,1,2,2,1,0,0,1,0,1,0,0,1,0,2,0,8,0,2,1
26 - Κέρκυρας,58 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,377,188,1,0,1,187,74,4,35,2,6,13,25,7,3,6,2,3,12,2,0,1,5,2,24,0,2,2,0,10,8,3,0,2,0,0,4,0,0,0,0,0,3,2,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,21,0,17,0
26 - Κέρκυρας,59 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,477,310,14,2,16,294,91,3,53,1,19,9,73,25,9,13,3,5,29,5,3,1,10,3,15,1,0,3,1,7,17,3,2,4,0,2,7,2,0,1,3,0,17,16,0,0,0,0,0,1,0,0,0,0,0,3,2,4,1,2,0,2,0,4,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,2,2,2,0,1,1,0,0,3,2,2,2,0,0,0,1,1,0,0,18,4,9,2
26 - Κέρκυρας,60 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,480,293,5,0,5,288,104,4,55,7,8,18,49,19,6,4,5,5,38,8,3,3,17,0,17,0,0,3,4,9,12,4,4,2,0,0,9,3,2,1,1,0,10,8,1,2,1,0,0,2,0,1,0,1,0,2,2,1,0,8,0,4,1,3,0,2,0,0,0,1,0,0,0,3,2,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,1,3,0,0,0,15,2,8,1
26 - Κέρκυρας,61 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,500,254,9,1,10,244,67,5,46,3,4,3,53,13,12,8,4,3,24,6,2,2,9,3,18,0,0,4,3,7,9,1,3,1,1,0,11,1,1,1,1,2,17,13,2,0,0,0,0,3,0,0,0,2,0,1,0,3,2,2,0,1,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4,1,1,1,0,0,2,1,1,0,2,0,0,0,0,2,1,15,2,8,4
26 - Κέρκυρας,62 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,396,222,18,2,20,202,82,11,40,1,14,11,38,14,11,6,1,2,16,3,2,1,9,0,13,1,0,3,2,6,9,3,4,0,1,0,7,3,0,0,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,2,1,4,2,4,0,3,0,3,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,3,3,2,0,2,0,2,2,1,1,1,0,1,1,0,1,1,0,0,7,0,6,1
26 - Κέρκυρας,63 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,408,240,4,0,4,236,103,4,51,9,17,12,52,17,8,6,7,8,23,4,2,1,12,0,10,1,0,1,3,4,4,2,1,0,0,0,11,5,0,0,0,5,6,5,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,1,0,0,0,3,1,2,1,1,0,0,10,1,7,0
26 - Κέρκυρας,64 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,445,251,6,2,8,243,112,6,62,4,8,19,47,14,9,12,2,5,30,5,1,0,18,1,14,0,0,1,1,7,8,1,1,1,0,1,6,1,0,0,1,1,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,1,0,0,1,1,2,1,3,1,1,0,0,0,0,7,0,4,1
26 - Κέρκυρας,65 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,294,170,4,0,4,166,66,2,36,2,8,10,32,9,5,5,2,4,8,1,0,1,3,3,13,1,0,4,1,4,3,0,0,0,0,0,8,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,1,5,2,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,3,2,1,0,1,1,1,4,3,2,1,0,0,0,0,0,0,0,13,1,10,0
26 - Κέρκυρας,66 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,309,165,2,0,2,163,51,4,28,3,11,3,39,14,6,8,0,5,21,4,1,0,10,3,25,2,1,5,6,8,4,0,0,2,0,1,5,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,0,1,0,0,0,2,1,1,0,1,0,1,0,0,0,0,7,2,3,0
26 - Κέρκυρας,67 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,211,136,4,2,6,130,29,1,12,0,3,10,29,13,2,0,0,5,13,3,0,3,2,1,20,0,2,7,0,7,1,0,1,0,0,0,5,5,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,1,4,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,1,0,2,0,1,1,1,1,1,9,2,4,1
26 - Κέρκυρας,68 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,316,153,4,1,5,148,41,3,15,5,5,7,40,12,7,6,2,5,12,2,1,0,7,0,12,0,0,2,4,3,4,1,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,6,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,1,6,1
26 - Κέρκυρας,69 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,357,185,1,1,2,183,53,1,35,2,8,6,39,13,9,5,1,9,16,1,1,0,8,3,17,0,2,1,3,6,3,1,1,1,0,0,13,2,2,1,0,0,8,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2,3,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0,1,1,0,0,1,1,5,0,3,1,2,0,0,0,2,1,1,0,0,1,0,0,0,5,0,4,1
26 - Κέρκυρας,70 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,309,127,6,0,6,121,40,2,18,2,7,10,13,6,1,2,1,0,20,3,0,0,8,5,9,1,0,0,1,6,10,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,3,0,1,1,1,1,1,1,1,0,1,1,1,2,2,4,1,2,0
26 - Κέρκυρας,71 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,450,241,2,1,3,238,84,5,36,4,16,13,42,8,4,6,7,5,28,7,2,9,6,1,16,0,0,1,1,10,9,4,0,2,0,0,15,4,1,1,3,0,5,4,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5,2,3,3,2,0,2,0,0,0,0,17,3,9,2
26 - Κέρκυρας,72 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,396,167,1,2,3,164,63,3,22,3,25,6,22,10,4,2,3,1,24,8,0,3,9,1,7,0,1,0,3,3,5,1,0,1,0,0,7,2,4,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,3,2,3,1,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,1,0,4,2,0,0,0,0,2,0,1,0,1,0,1,2,2,0,0,9,1,5,1
26 - Κέρκυρας,73 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,313,183,0,3,3,180,43,3,26,1,6,3,38,9,2,6,4,6,17,1,3,3,9,1,45,1,1,5,3,31,3,0,0,0,1,1,8,2,1,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,11,1,7,2
26 - Κέρκυρας,74 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,487,281,12,4,16,265,102,7,62,4,9,8,46,17,7,8,2,4,18,5,0,1,8,2,23,3,1,4,1,10,7,3,1,2,0,0,8,1,0,0,2,0,5,3,2,1,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,2,1,0,0,3,1,3,0,0,0,2,0,2,0,0,1,0,30,1,20,3
26 - Κέρκυρας,75 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,478,273,11,0,11,262,98,1,50,4,15,19,48,15,17,6,3,0,33,4,5,7,12,0,12,0,0,1,0,7,18,3,3,5,0,2,10,0,1,0,5,1,4,3,1,0,0,1,0,2,2,0,0,0,0,2,2,0,0,3,0,2,1,5,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,1,0,2,1,1,0,1,1,1,0,0,16,1,11,3
26 - Κέρκυρας,76 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,471,280,5,2,7,273,105,5,59,14,8,7,53,24,7,5,3,7,28,3,0,0,18,4,18,1,1,2,1,11,7,1,2,1,0,0,5,2,0,0,0,1,6,4,2,1,1,0,0,1,1,0,0,0,0,1,1,1,0,2,0,2,0,5,0,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,2,0,5,1,4,1,1,0,0,25,1,23,1
26 - Κέρκυρας,77 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,456,233,6,0,6,227,58,3,31,4,7,8,71,29,5,11,3,7,19,2,0,3,8,2,16,0,0,2,0,12,10,3,1,2,0,2,6,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,1,3,0,0,0,0,1,1,1,0,0,0,0,1,1,24,2,18,2
26 - Κέρκυρας,78 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,395,232,9,1,10,222,100,10,53,4,13,10,30,9,4,9,2,1,17,3,2,1,7,1,15,0,0,0,10,5,13,2,2,2,1,0,8,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,1,1,0,0,2,0,0,2,2,0,0,24,5,15,3
26 - Κέρκυρας,79 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,425,246,4,0,4,242,99,1,40,6,22,24,37,15,3,2,2,5,26,2,0,5,8,4,11,0,0,0,2,6,12,2,0,2,4,0,8,0,0,2,1,2,1,1,0,0,0,0,0,4,1,1,0,1,0,0,0,1,0,4,0,2,1,5,1,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,1,3,1,1,0,0,0,0,3,2,1,0,18,2,12,1
26 - Κέρκυρας,80 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,264,124,5,1,6,118,49,4,23,1,10,7,22,5,3,7,2,3,15,5,1,0,3,0,12,0,0,3,2,4,3,0,1,0,0,0,6,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,2,1
26 - Κέρκυρας,81 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,291,120,0,0,0,120,41,0,14,0,11,12,21,5,1,5,3,3,11,2,0,1,6,1,19,0,0,5,1,8,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,1,1,4,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,1,3,2
26 - Κέρκυρας,82 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,610,120,1,1,2,118,64,0,25,7,14,13,11,5,2,2,0,1,30,13,0,2,14,0,3,0,0,1,0,2,1,1,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26 - Κέρκυρας,83 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,516,228,0,0,0,228,96,3,50,4,15,13,52,15,16,7,2,6,18,5,0,2,10,1,24,0,0,11,1,9,6,0,2,2,0,1,5,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,2,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,9,0,8,1
26 - Κέρκυρας,84 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,519,234,6,2,8,226,99,2,50,6,19,16,44,24,5,6,1,5,20,3,2,2,9,2,20,2,1,7,2,6,1,0,0,0,0,0,4,1,0,0,0,0,4,1,2,0,0,0,0,3,0,1,0,0,1,1,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,1,1,1,1,0,0,0,5,1,2,1,1,0,0,14,1,8,1
26 - Κέρκυρας,85 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,505,247,2,0,2,245,114,4,58,5,15,19,47,14,7,7,0,8,22,6,1,2,11,0,13,1,2,3,1,3,4,0,2,0,0,0,6,2,0,1,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,1,1,5,3,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,3,1,0,0,2,1,1,0,0,0,0,0,0,14,2,11,1
26 - Κέρκυρας,86 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,539,261,3,3,6,255,96,0,39,5,15,22,63,16,20,6,2,7,22,5,1,3,9,2,22,2,0,11,2,4,2,0,1,1,0,0,7,3,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,1,2,0,2,0,6,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,9,1,0,5,0,0,0,0,1,0,5,2,2,0,0,0,0,13,1,5,0
26 - Κέρκυρας,87 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,523,267,9,2,11,256,108,3,44,7,17,19,51,15,9,11,3,2,32,5,4,3,10,10,18,3,1,3,2,5,5,0,0,3,0,0,14,6,0,0,1,1,2,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,1,3,2,0,0,1,1,0,1,0,0,0,9,2,5,0
26 - Κέρκυρας,88 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,513,289,3,0,3,286,114,5,48,8,19,18,57,16,11,8,1,9,29,4,3,6,13,0,26,0,0,7,3,11,5,0,1,4,0,0,7,1,0,0,4,0,4,0,3,1,1,0,0,1,0,0,0,0,0,0,0,3,2,1,0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,23,2,15,1
