ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΑΝΝΟΥΛΟΥ ΚΑΛΛΙΟΠΗ του Ιωάννη,ΜΗΤΑΡΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΝΟΤΗΣ) του Αντωνίου,ΤΡΟΜΠΟΥΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΤΣΑΠΗ ΜΑΡΚΕΛΛΑ του Κωνσταντίνου,ΣΥΡΙΖΑ,ΒΛΑΤΤΑ ΑΓΓΕΛΙΚΗ του Αργυρίου,ΜΙΧΑΗΛΙΔΗΣ ΑΝΔΡΕΑΣ του Φραγκούλη,ΝΕΑΜΟΝΙΤΑΚΗΣ ΜΑΡΙΟΣ του Στεργίου,ΠΕΙΡΑΝΤΑΚΟΥ ΣΕΒΑΣΤΗ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΡΙΜΙΖΗΣ ΧΡΙΣΤΟΦΟΡΟΣ του Νικολάου,ΛΕΩΝΗ - ΚΩΣΤΑΝΤΟΥΛΑΚΗ ΜΑΡΙΑ του Στυλιανού,ΛΥΚΟΥ ΑΠΟΣΤΟΛΙΑ (ΛΙΤΣΑ) του Παντελή,ΜΙΧΑΗΛΙΔΗΣ ΣΤΑΥΡΟΣ του Γεωργίου,Κ.Κ.Ε.,ΑΜΠΑΖΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΒΕΡΝΙΩΤΟΥ ΑΝΝΑ του Γεωργίου,ΚΥΡΙΤΣΗ ΑΓΛΑΪΑ του Λαζάρου,ΜΙΧΑΛΑΚΗΣ ΑΡΙΣΤΕΙΔΗΣ (ΑΡΗΣ) του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΤΑ ΣΟΥΛΤΑΝΑ του Κωνσταντίνου,ΜΙΧΑΛΑΣ ΑΛΕΞΑΝΔΡΟΣ του Παναγιώτη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΒΟΡΡΙΑΣ ΑΛΕΞΑΝΔΡΟΣ του Μιχαήλ,ΓΟΥΤΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΞΕΝΙΑΔΗ ΕΜΜΑΝΟΥΕΛΛΑ του Θεοδώρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΟΥΡΝΗ ΧΡΥΣΟΥΛΑ του Παντελή,Κ.Κ.Ε. (μ-λ),ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΧΡΗΣΤΟΣ του Σπυρίδωνα,Ο.Κ.Δ.Ε.,ΚΑΛΑΝΤΖΗ ΕΒΙΝΑ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΠΟΣΤΟΛΙΔΗΣ ΖΑΝΝΗΣ του Μικέ,Κίνημα 21,ΠΙΤΣΙΟΥ ΒΑΣΙΛΙΚΗ του Αθανασίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΔΗΜΑ ΚΑΛΛΙΟΠΗ του Κωνσταντίνου,ΣΚΑΠΙΝΑΚΗΣ ΘΕΟΔΩΡΟΣ ΟΡΕΣΤΗΣ του Γεωργίου,ΝΙΚΗ,ΣΠΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΣΤΕΦΑΝΟΥ ΕΙΡΗΝΗ του Αθανασίου,κοινωνία αξιών,ΠΑΧΝΟΣ ΓΕΩΡΓΙΟΣ του Όθωνος,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΟΥΡΛΗ ΕΛΕΥΘΕΡΙΑ του Θεοδώρου,ΤΣΙΡΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΟΥ ΧΡΥΣΟΥΛΑ του Ιωσήφ,Ελλήνων Συνέλευσις,ΑΠΟΣΤΟΛΑΚΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΚΕΦΑΛΑ ΜΑΡΙΑ του Κωνσταντίνου,ΠΑΠΑΔΗΜΗΤΡΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,Ένωση Κεντρώων,ΚΑΒΑΔΕΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΝΙΚΑΣ ΗΛΙΑΣ του Δημητρίου,ΦΩΚΑ ΠΑΝΑΓΙΩΤΑ του Αναστάσιου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΝΤΑΜΑΤΙΔΟΥ ΕΙΡΗΝΗ του Σταύρου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Κωνσταντίνου,ΚΑΣΤΕΡΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΖΑΦΕΙΡΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΤΑΟΥΣΑΝΗΣ ΓΕΩΡΓΙΟΣ του Κυριακου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΡΑΓΙΑΝΝΙΔΟΥ ΑΝΤΩΝΙΑ του Νικολάου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΜΕΡΙΚΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΝΑΤΣΗ ΣΟΦΙΑ του Ευάγγελου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΡΑΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΡΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ (ΓΙΑΓΚΟΣ) του Δημητρίου
49 - Χίου,40 E.T. Δήμου Χίου,552,358,6,5,11,347,142,28,68,25,9,52,5,35,5,1,51,10,4,8,21,44,9,3,1,0,9,6,1,1,0,0,0,4,2,2,1,0,0,2,0,1,0,2,0,0,10,1,2,1,1,0,0,0,0,0,1,1,0,0,6,0,1,0,2,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,14,7
49 - Χίου,41 E.T. Δήμου Χίου,550,362,5,4,9,353,148,42,76,18,0,40,3,26,2,7,52,19,2,6,21,49,10,3,31,2,19,5,6,5,0,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,13,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,3,0,2,1,2,0,2,1,0,1,0,8,4
49 - Χίου,42 E.T. Δήμου Χίου,79,52,1,0,1,51,22,4,15,1,0,4,0,0,2,1,10,1,2,1,6,4,3,1,0,0,2,1,0,2,1,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,43 E.T. Δήμου Χίου,109,59,1,0,1,58,20,2,9,7,0,13,0,7,1,4,17,4,0,3,8,5,4,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,44 E.T. Δήμου Χίου,320,290,13,1,14,276,158,25,93,15,6,23,3,14,2,1,37,9,3,5,14,9,3,1,0,2,18,4,9,6,3,1,0,5,5,0,0,1,0,1,1,2,1,2,1,0,3,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,2,1,1,0,1,1,0,0,0
49 - Χίου,45 E.T. Δήμου Χίου,351,300,17,3,20,280,148,22,94,19,1,28,5,13,4,3,47,8,5,9,20,8,4,1,1,2,9,0,4,4,0,0,1,1,0,0,0,0,0,1,0,1,1,9,1,5,6,2,2,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2,9,7
49 - Χίου,46 E.T. Δήμου Χίου,302,149,3,4,7,142,77,5,62,9,1,12,0,7,1,2,20,2,3,1,10,4,1,0,3,0,5,2,1,4,0,0,2,4,2,1,0,0,0,0,0,0,0,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2
49 - Χίου,47 E.T. Δήμου Χίου,446,267,0,1,1,266,131,23,76,19,1,30,3,21,2,0,56,15,1,18,17,17,5,4,4,1,6,2,2,6,1,1,4,0,0,0,0,0,0,2,2,0,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,9,6
49 - Χίου,48 E.T. Δήμου Χίου,246,163,1,2,3,160,79,13,52,10,1,14,1,10,0,2,35,6,2,15,12,2,0,1,1,0,2,1,0,4,2,1,0,4,3,0,0,0,0,0,0,0,0,4,3,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,3
49 - Χίου,49 E.T. Δήμου Χίου,674,349,5,1,6,343,161,33,98,11,1,25,2,12,2,2,83,25,1,17,37,10,5,1,0,0,16,2,10,14,0,0,14,7,6,0,0,0,0,0,0,1,1,2,0,0,5,1,0,1,1,0,0,0,1,1,0,0,0,0,4,1,0,2,0,0,0,0,0,1,1,2,1,0,0,6,0,4,0,0,4,2
49 - Χίου,50 E.T. Δήμου Χίου,289,210,12,3,15,195,82,8,46,13,2,19,1,9,4,0,41,10,4,12,11,16,4,2,1,3,11,3,4,4,1,0,2,0,0,0,0,0,0,0,0,1,0,4,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,3,0,0,0,5,3,0,0,0,0,0,1,0,3,3
49 - Χίου,51 E.T. Δήμου Χίου,468,147,0,1,1,146,64,6,46,8,2,13,1,10,1,1,40,8,0,15,15,9,5,1,1,0,4,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,2,2
49 - Χίου,52 E.T. Δήμου Χίου,475,185,1,1,2,183,114,9,81,14,4,13,1,10,0,0,29,6,0,8,13,6,3,1,1,1,0,0,0,3,0,2,0,0,0,2,2,0,0,0,0,0,0,4,0,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1
49 - Χίου,53 E.T. Δήμου Χίου,478,186,0,1,1,185,85,7,75,1,0,11,2,6,2,1,60,14,6,10,25,7,1,2,3,0,3,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,8,3,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,3,2
49 - Χίου,54 E.T. Δήμου Χίου,460,127,2,1,3,124,69,12,46,6,1,8,0,7,0,0,16,3,1,6,4,7,3,1,1,2,5,1,3,4,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,4,3
49 - Χίου,55 E.T. Δήμου Χίου,629,272,20,3,23,249,103,15,60,15,5,33,8,17,3,1,46,10,4,10,14,17,4,1,7,1,8,2,3,7,1,0,2,2,1,0,0,0,0,1,1,4,4,7,0,3,6,4,1,1,1,0,0,0,1,1,1,0,0,0,3,1,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,6,5
49 - Χίου,56 E.T. Δήμου Χίου,457,141,1,0,1,140,68,12,42,11,2,16,2,11,1,1,27,5,2,3,15,7,3,1,3,0,0,0,0,2,1,0,1,4,3,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,4,4
49 - Χίου,57 E.T. Δήμου Χίου,491,128,1,1,2,126,71,8,45,10,4,18,1,10,0,6,14,2,0,1,10,4,1,1,2,0,2,1,1,3,2,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,3,2
49 - Χίου,58 E.T. Δήμου Χίου,491,161,1,2,3,158,88,12,57,15,1,18,1,9,1,2,17,6,1,1,8,3,0,0,1,1,1,0,1,4,2,1,1,1,1,0,0,0,0,1,0,1,1,2,1,1,4,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,4,1,1,1,2,1,0,0,0,0,0,1,1,6,5
49 - Χίου,59 E.T. Δήμου Χίου,513,113,2,1,3,110,52,7,29,12,1,16,2,9,1,2,12,4,0,0,7,11,11,0,0,0,4,2,1,2,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,2,0,0,1,0
49 - Χίου,60 E.T. Δήμου Χίου,486,150,5,1,6,144,74,9,45,10,2,12,1,7,0,0,21,7,0,2,11,13,5,1,3,2,3,2,0,5,2,1,1,2,2,0,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,2,2,3,2
49 - Χίου,61 E.T. Δήμου Χίου,468,161,3,0,3,158,82,8,50,20,2,15,3,12,0,0,27,7,0,3,15,17,3,0,3,4,2,2,0,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,2,1,1,0
49 - Χίου,62 E.T. Δήμου Χίου,377,114,1,0,1,113,65,11,39,15,0,18,0,12,3,1,24,8,1,1,14,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49 - Χίου,63 E.T. Δήμου Χίου,345,97,2,0,2,95,50,13,25,7,1,6,0,4,0,1,24,13,0,2,8,8,6,1,0,1,2,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,64 E.T. Δήμου Χίου,471,46,0,0,0,46,31,5,22,3,0,4,0,4,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,65 E.T. Δήμου Χίου,457,192,5,0,5,187,93,15,46,21,1,6,1,3,0,0,51,15,3,2,26,7,3,0,2,0,7,0,2,4,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,1,6,3
49 - Χίου,66 E.T. Δήμου Χίου,149,47,2,0,2,45,20,4,10,5,0,6,0,1,2,0,8,2,0,1,5,0,0,0,0,0,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49 - Χίου,67 E.T. Δήμου Χίου,430,384,18,6,24,360,121,25,52,23,7,64,1,30,13,12,61,14,12,14,14,18,6,4,1,2,24,11,9,13,1,2,4,4,4,0,0,0,0,4,2,2,0,2,1,0,6,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,6,1,1,5,2,7,4,3,1,1,3,3,11,6
49 - Χίου,68 E.T. Δήμου Χίου,327,95,2,0,2,93,23,2,14,3,0,2,0,2,0,0,53,1,47,0,5,4,0,0,2,1,4,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0,0
49 - Χίου,69 E.T. Δήμου Χίου,475,190,2,1,3,187,124,10,103,5,2,14,1,12,0,1,37,1,7,0,29,3,0,1,1,0,4,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
49 - Χίου,70 E.T. Δήμου Χίου,531,221,4,1,5,216,102,11,74,5,2,48,2,4,1,40,43,8,2,7,18,5,1,0,0,0,4,2,2,5,1,0,2,2,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1
49 - Χίου,71 E.T. Δήμου Χίου,529,223,3,0,3,220,103,14,77,5,0,41,3,6,0,32,58,12,5,6,26,5,0,0,0,3,0,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
49 - Χίου,72 E.T. Δήμου Χίου,684,263,4,2,6,257,118,12,82,13,3,35,3,9,4,9,71,6,17,9,34,12,2,3,2,1,5,0,4,2,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,73 E.T. Δήμου Χίου,683,317,2,1,3,314,183,26,130,11,2,28,4,10,9,2,54,11,8,6,29,6,3,3,0,0,16,6,6,5,2,1,1,1,0,0,0,5,5,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,1,0,1,1,0,6,3
49 - Χίου,74 E.T. Δήμου Χίου,439,205,6,1,7,198,112,16,67,23,2,13,2,7,3,0,35,5,3,9,15,3,0,1,0,0,9,4,3,2,0,1,0,2,1,1,1,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,2,2,9,8
49 - Χίου,75 E.T. Δήμου Χίου,150,65,0,0,0,65,31,2,28,1,0,6,0,3,0,3,15,1,3,2,9,5,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
49 - Χίου,76 E.T. Δήμου Χίου,405,216,2,1,3,213,111,29,55,21,1,20,1,15,0,3,57,7,9,10,30,6,2,1,1,0,4,1,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,4,4
49 - Χίου,77 E.T. Δήμου Χίου,437,214,9,2,11,203,115,10,79,21,0,19,0,14,1,3,52,6,3,19,22,5,3,2,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,2,2,1,1,1,0,0,0
49 - Χίου,78 E.T. Δήμου Χίου,408,226,7,1,8,218,118,28,60,21,3,17,3,9,2,2,50,5,3,5,34,12,6,3,3,0,10,5,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,2,1
49 - Χίου,79 E.T. Δήμου Χίου,511,264,4,3,7,257,93,39,44,4,1,28,17,6,2,2,62,52,0,1,7,29,11,0,3,10,12,5,5,8,3,0,3,2,2,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,4,1,1,6,1,0,0,2,1,1,0,0,0,0,3,2
49 - Χίου,80 E.T. Δήμου Χίου,502,237,1,1,2,235,95,29,45,13,1,28,9,15,1,2,61,36,0,2,18,17,1,0,3,7,3,1,1,10,2,3,2,5,4,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,9,6
49 - Χίου,81 E.T. Δήμου Χίου,509,248,5,0,5,243,100,41,41,4,4,32,9,11,2,4,54,34,2,5,12,11,3,1,2,5,8,2,3,8,0,1,4,7,3,0,0,0,0,2,1,0,0,1,0,0,5,2,3,0,0,0,0,0,0,0,2,0,1,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,1,1,1,0,6,4
49 - Χίου,82 E.T. Δήμου Χίου,504,246,0,3,3,243,104,45,45,7,2,22,5,11,3,2,47,32,0,0,13,33,11,2,6,10,5,1,3,5,1,2,1,1,1,0,0,0,0,0,0,2,0,3,0,1,5,1,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,1,1,0,1,0,1,0,0,7,7
49 - Χίου,83 E.T. Δήμου Χίου,497,262,8,4,12,250,101,35,44,5,9,25,11,12,1,0,63,38,0,8,16,18,4,3,2,3,8,3,4,6,2,0,3,0,0,0,0,0,0,0,0,2,2,2,1,1,12,6,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,2,0,0,6,4
49 - Χίου,84 E.T. Δήμου Χίου,487,269,2,1,3,266,119,42,52,18,3,44,13,22,3,2,52,33,1,3,12,19,12,0,2,3,2,0,1,6,2,0,2,1,1,0,0,0,0,0,0,1,0,2,1,0,2,1,0,1,1,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,1,9,4
49 - Χίου,85 E.T. Δήμου Χίου,495,272,4,1,5,267,129,40,65,15,5,25,9,12,1,1,48,29,0,2,15,17,6,1,3,3,9,2,4,5,0,1,4,8,5,0,0,0,0,0,0,1,0,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,0,2,1,0,0,1,1,4,0,2,0,0,7,4
49 - Χίου,86 E.T. Δήμου Χίου,510,247,7,0,7,240,87,29,41,3,2,38,16,21,1,0,56,42,1,4,6,19,3,0,1,11,7,0,5,6,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,4,2,2,1,1,2,1,5,2,0,0,0,0,0,5,3
49 - Χίου,87 E.T. Δήμου Χίου,505,235,4,1,5,230,102,32,59,6,2,25,8,9,1,2,43,32,0,5,3,23,9,0,1,11,4,1,2,3,2,0,1,2,0,0,0,0,0,5,4,0,0,6,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,3,1,2,0,0,0,0,4,3
49 - Χίου,88 E.T. Δήμου Χίου,505,252,8,1,9,243,98,36,46,9,2,25,4,14,1,0,62,48,0,8,5,21,7,0,1,10,8,2,5,7,0,2,1,6,5,0,0,0,0,2,2,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,5
49 - Χίου,89 E.T. Δήμου Χίου,503,248,1,0,1,247,95,37,33,12,5,30,5,17,4,2,54,34,0,3,15,33,9,1,1,11,7,4,2,5,1,0,2,5,2,1,0,0,0,0,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,2,1,0,0,0,7,5
49 - Χίου,90 E.T. Δήμου Χίου,453,230,9,1,10,220,98,36,36,16,1,25,9,10,3,1,44,35,0,0,8,30,8,0,6,9,7,2,5,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4
49 - Χίου,91 E.T. Δήμου Χίου,56,22,0,0,0,22,7,1,4,0,2,5,0,3,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
49 - Χίου,92 E.T. Δήμου Χίου,182,65,1,0,1,64,37,0,32,1,1,7,0,6,0,0,11,0,2,3,5,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0
49 - Χίου,93 E.T. Δήμου Χίου,500,235,6,3,9,226,150,33,98,9,2,28,3,22,0,0,22,7,3,0,9,3,1,0,0,1,5,2,3,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2,1,1,5,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0,2,2
49 - Χίου,94 E.T. Δήμου Χίου,441,201,4,1,5,196,119,15,88,12,0,19,0,19,0,0,20,7,0,5,7,11,10,0,0,0,7,4,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5,2
49 - Χίου,95 E.T. Δήμου Χίου,436,271,8,0,8,263,57,17,25,10,1,25,2,18,1,0,62,32,2,7,16,74,21,4,16,24,3,1,1,20,0,2,18,4,3,4,3,0,0,3,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,2
49 - Χίου,96 E.T. Δήμου Χίου,470,420,6,1,7,413,140,48,58,17,4,36,3,25,2,2,88,40,0,8,29,57,24,4,18,7,14,5,3,20,3,1,15,9,8,0,0,1,0,1,0,10,9,1,0,1,11,6,2,0,0,0,0,0,0,0,6,3,2,0,4,3,0,0,2,1,2,1,1,1,1,1,0,3,2,3,2,0,1,1,2,2
